area_id,day_of_year,temperature_2m_max_normal_mean,temperature_2m_max_normal_std,temperature_2m_min_normal_mean,temperature_2m_min_normal_std,precipitation_sum_normal_mean,precipitation_sum_normal_std,windspeed_10m_max_normal_mean,windspeed_10m_max_normal_std,cloudcover_mean_normal_mean,cloudcover_mean_normal_std
amazon_rainforest,1,31.79,2.0,22.53,1.5,8.37,5.0,8.79,2.0,74.22,12
amazon_rainforest,2,31.81,2.0,22.54,1.5,8.44,5.0,8.81,2.0,74.33,12
amazon_rainforest,3,31.83,2.0,22.56,1.5,8.5,5.0,8.83,2.0,74.45,12
amazon_rainforest,4,31.86,2.0,22.57,1.5,8.57,5.0,8.86,2.0,74.56,12
amazon_rainforest,5,31.88,2.0,22.58,1.5,8.63,5.0,8.88,2.0,74.67,12
amazon_rainforest,6,31.9,2.0,22.6,1.5,8.69,5.0,8.9,2.0,74.79,12
amazon_rainforest,7,31.92,2.0,22.61,1.5,8.75,5.0,8.92,2.0,74.9,12
amazon_rainforest,8,31.94,2.0,22.63,1.5,8.81,5.0,8.94,2.0,75.0,12
amazon_rainforest,9,31.96,2.0,22.64,1.5,8.87,5.0,8.96,2.0,75.11,12
amazon_rainforest,10,31.98,2.0,22.65,1.5,8.93,5.0,8.98,2.0,75.22,12
amazon_rainforest,11,32.0,2.0,22.66,1.5,8.99,5.0,9.0,2.0,75.32,12
amazon_rainforest,12,32.02,2.0,22.68,1.5,9.05,5.0,9.02,2.0,75.42,12
amazon_rainforest,13,32.04,2.0,22.69,1.5,9.11,5.0,9.04,2.0,75.52,12
amazon_rainforest,14,32.05,2.0,22.7,1.5,9.16,5.0,9.05,2.0,75.62,12
amazon_rainforest,15,32.07,2.0,22.71,1.5,9.22,5.0,9.07,2.0,75.72,12
amazon_rainforest,16,32.09,2.0,22.73,1.5,9.27,5.0,9.09,2.0,75.81,12
amazon_rainforest,17,32.11,2.0,22.74,1.5,9.32,5.0,9.11,2.0,75.91,12
amazon_rainforest,18,32.12,2.0,22.75,1.5,9.37,5.0,9.12,2.0,76.0,12
amazon_rainforest,19,32.14,2.0,22.76,1.5,9.42,5.0,9.14,2.0,76.09,12
amazon_rainforest,20,32.16,2.0,22.77,1.5,9.47,5.0,9.16,2.0,76.18,12
