area_id,day_of_year,temperature_2m_max_normal_mean,temperature_2m_max_normal_std,temperature_2m_min_normal_mean,temperature_2m_min_normal_std,precipitation_sum_normal_mean,precipitation_sum_normal_std,windspeed_10m_max_normal_mean,windspeed_10m_max_normal_std,cloudcover_mean_normal_mean,cloudcover_mean_normal_std
borneo_rainforest,1,31.96,1.5,23.77,1.2,11.85,5.0,6.96,1.5,82.7,12
borneo_rainforest,2,31.96,1.5,23.77,1.2,11.83,5.0,6.96,1.5,82.66,12
borneo_rainforest,3,31.95,1.5,23.76,1.2,11.81,5.0,6.95,1.5,82.62,12
borneo_rainforest,4,31.95,1.5,23.76,1.2,11.79,5.0,6.95,1.5,82.58,12
borneo_rainforest,5,31.94,1.5,23.75,1.2,11.77,5.0,6.94,1.5,82.53,12
borneo_rainforest,6,31.94,1.5,23.75,1.2,11.74,5.0,6.94,1.5,82.48,12
borneo_rainforest,7,31.93,1.5,23.74,1.2,11.72,5.0,6.93,1.5,82.43,12
borneo_rainforest,8,31.92,1.5,23.74,1.2,11.69,5.0,6.92,1.5,82.38,12
borneo_rainforest,9,31.92,1.5,23.73,1.2,11.66,5.0,6.92,1.5,82.33,12
borneo_rainforest,10,31.91,1.5,23.73,1.2,11.64,5.0,6.91,1.5,82.27,12
borneo_rainforest,11,31.9,1.5,23.72,1.2,11.61,5.0,6.9,1.5,82.21,12
borneo_rainforest,12,31.89,1.5,23.72,1.2,11.58,5.0,6.89,1.5,82.15,12
borneo_rainforest,13,31.89,1.5,23.71,1.2,11.54,5.0,6.89,1.5,82.09,12
borneo_rainforest,14,31.88,1.5,23.7,1.2,11.51,5.0,6.88,1.5,82.02,12
borneo_rainforest,15,31.87,1.5,23.7,1.2,11.48,5.0,6.87,1.5,81.96,12
borneo_rainforest,16,31.86,1.5,23.69,1.2,11.44,5.0,6.86,1.5,81.89,12
borneo_rainforest,17,31.85,1.5,23.68,1.2,11.41,5.0,6.85,1.5,81.82,12
borneo_rainforest,18,31.84,1.5,23.67,1.2,11.37,5.0,6.84,1.5,81.74,12
borneo_rainforest,19,31.83,1.5,23.67,1.2,11.33,5.0,6.83,1.5,81.67,12
borneo_rainforest,20,31.82,1.5,23.66,1.2,11.3,5.0,6.82,1.5,81.59,12
borneo_rainforest,21,31.81,1.5,23.65,1.2,11.26,5.0,6.81,1.5,81.51,12
borneo_rainforest,22,31.8,1.5,23.64,1.2,11.22,5.0,6.8,1.5,81.43,12
borneo_rainforest,23,31.79,1.5,23.63,1.2,11.17,5.0,6.79,1.5,81.35,12
borneo_rainforest,24,31.78,1.5,23.63,1.2,11.13,5.0,6.78,1.5,81.26,12
borneo_rainforest,25,31.77,1.5,23.62,1.2,11.09,5.0,6.77,1.5,81.18,12
borneo_rainforest,26,31.76,1.5,23.61,1.2,11.04,5.0,6.76,1.5,81.09,12
borneo_rainforest,27,31.75,1.5,23.6,1.2,11.0,5.0,6.75,1.5,81.0,12
borneo_rainforest,28,31.74,1.5,23.59,1.2,10.95,5.0,6.74,1.5,80.91,12
borneo_rainforest,29,31.73,1.5,23.58,1.2,10.91,5.0,6.73,1.5,80.81,12
borneo_rainforest,30,31.71,1.5,23.57,1.2,10.86,5.0,6.71,1.5,80.72,12
borneo_rainforest,31,31.7,1.5,23.56,1.2,10.81,5.0,6.7,1.5,80.62,12
borneo_rainforest,32,31.69,1.5,23.55,1.2,10.76,5.0,6.69,1.5,80.52,12
borneo_rainforest,33,31.68,1.5,23.54,1.2,10.71,5.0,6.68,1.5,80.42,12
borneo_rainforest,34,31.66,1.5,23.53,1.2,10.66,5.0,6.66,1.5,80.32,12
borneo_rainforest,35,31.65,1.5,23.52,1.2,10.61,5.0,6.65,1.5,80.22,12
borneo_rainforest,36,31.64,1.5,23.51,1.2,10.55,5.0,6.64,1.5,80.11,12
borneo_rainforest,37,31.63,1.5,23.5,1.2,10.5,5.0,6.63,1.5,80.0,12
borneo_rainforest,38,31.61,1.5,23.49,1.2,10.45,5.0,6.61,1.5,79.9,12
borneo_rainforest,39,31.6,1.5,23.48,1.2,10.39,5.0,6.6,1.5,79.79,12
borneo_rainforest,40,31.58,1.5,23.47,1.2,10.34,5.0,6.58,1.5,79.67,12
borneo_rainforest,41,31.57,1.5,23.46,1.2,10.28,5.0,6.57,1.5,79.56,12
borneo_rainforest,42,31.56,1.5,23.44,1.2,10.22,5.0,6.56,1.5,79.45,12
borneo_rainforest,43,31.54,1.5,23.43,1.2,10.17,5.0,6.54,1.5,79.33,12
borneo_rainforest,44,31.53,1.5,23.42,1.2,10.11,5.0,6.53,1.5,79.22,12
borneo_rainforest,45,31.51,1.5,23.41,1.2,10.05,5.0,6.51,1.5,79.1,12
borneo_rainforest,46,31.5,1.5,23.4,1.2,9.99,5.0,6.5,1.5,78.98,12
borneo_rainforest,47,31.48,1.5,23.39,1.2,9.93,5.0,6.48,1.5,78.86,12
borneo_rainforest,48,31.47,1.5,23.37,1.2,9.87,5.0,6.47,1.5,78.74,12
borneo_rainforest,49,31.45,1.5,23.36,1.2,9.81,5.0,6.45,1.5,78.62,12
borneo_rainforest,50,31.44,1.5,23.35,1.2,9.75,5.0,6.44,1.5,78.49,12
borneo_rainforest,51,31.42,1.5,23.34,1.2,9.68,5.0,6.42,1.5,78.37,12
borneo_rainforest,52,31.41,1.5,23.32,1.2,9.62,5.0,6.41,1.5,78.24,12
borneo_rainforest,53,31.39,1.5,23.31,1.2,9.56,5.0,6.39,1.5,78.12,12
borneo_rainforest,54,31.37,1.5,23.3,1.2,9.49,5.0,6.37,1.5,77.99,12
borneo_rainforest,55,31.36,1.5,23.29,1.2,9.43,5.0,6.36,1.5,77.86,12
borneo_rainforest,56,31.34,1.5,23.27,1.2,9.37,5.0,6.34,1.5,77.73,12
borneo_rainforest,57,31.33,1.5,23.26,1.2,9.3,5.0,6.33,1.5,77.6,12
borneo_rainforest,58,31.31,1.5,23.25,1.2,9.24,5.0,6.31,1.5,77.47,12
borneo_rainforest,59,31.29,1.5,23.23,1.2,9.17,5.0,6.29,1.5,77.34,12
borneo_rainforest,60,31.28,1.5,23.22,1.2,9.1,5.0,6.28,1.5,77.21,12
borneo_rainforest,61,31.26,1.5,23.21,1.2,9.04,5.0,6.26,1.5,77.08,12
borneo_rainforest,62,31.24,1.5,23.19,1.2,8.97,5.0,6.24,1.5,76.94,12
borneo_rainforest,63,31.23,1.5,23.18,1.2,8.9,5.0,6.23,1.5,76.81,12
borneo_rainforest,64,31.21,1.5,23.17,1.2,8.84,5.0,6.21,1.5,76.67,12
borneo_rainforest,65,31.19,1.5,23.15,1.2,8.77,5.0,6.19,1.5,76.54,12
borneo_rainforest,66,31.18,1.5,23.14,1.2,8.7,5.0,6.18,1.5,76.4,12
borneo_rainforest,67,31.16,1.5,23.13,1.2,8.63,5.0,6.16,1.5,76.27,12
borneo_rainforest,68,31.14,1.5,23.11,1.2,8.57,5.0,6.14,1.5,76.13,12
borneo_rainforest,69,31.12,1.5,23.1,1.2,8.5,5.0,6.12,1.5,76.0,12
borneo_rainforest,70,31.11,1.5,23.09,1.2,8.43,5.0,6.11,1.5,75.86,12
borneo_rainforest,71,31.09,1.5,23.07,1.2,8.36,5.0,6.09,1.5,75.72,12
borneo_rainforest,72,31.07,1.5,23.06,1.2,8.29,5.0,6.07,1.5,75.58,12
borneo_rainforest,73,31.06,1.5,23.04,1.2,8.22,5.0,6.06,1.5,75.45,12
