area_id,day_of_year,temperature_2m_max_normal_mean,temperature_2m_max_normal_std,temperature_2m_min_normal_mean,temperature_2m_min_normal_std,precipitation_sum_normal_mean,precipitation_sum_normal_std,windspeed_10m_max_normal_mean,windspeed_10m_max_normal_std,cloudcover_mean_normal_mean,cloudcover_mean_normal_std
brisbane_urban,1,30.21,2.5,20.68,2.2,6.04,4.5,15.37,3.5,57.47,15
brisbane_urban,2,30.24,2.5,20.71,2.2,6.06,4.5,15.38,3.5,57.52,15
brisbane_urban,3,30.27,2.5,20.74,2.2,6.07,4.5,15.39,3.5,57.57,15
brisbane_urban,4,30.29,2.5,20.77,2.2,6.09,4.5,15.41,3.5,57.62,15
brisbane_urban,5,30.32,2.5,20.8,2.2,6.1,4.5,15.42,3.5,57.67,15
brisbane_urban,6,30.34,2.5,20.83,2.2,6.11,4.5,15.43,3.5,57.71,15
brisbane_urban,7,30.36,2.5,20.85,2.2,6.13,4.5,15.44,3.5,57.75,15
brisbane_urban,8,30.38,2.5,20.87,2.2,6.14,4.5,15.45,3.5,57.79,15
brisbane_urban,9,30.4,2.5,20.89,2.2,6.15,4.5,15.46,3.5,57.82,15
brisbane_urban,10,30.42,2.5,20.91,2.2,6.16,4.5,15.46,3.5,57.85,15
brisbane_urban,11,30.43,2.5,20.93,2.2,6.16,4.5,15.47,3.5,57.88,15
brisbane_urban,12,30.45,2.5,20.94,2.2,6.17,4.5,15.48,3.5,57.91,15
brisbane_urban,13,30.46,2.5,20.96,2.2,6.18,4.5,15.48,3.5,57.93,15
brisbane_urban,14,30.47,2.5,20.97,2.2,6.18,4.5,15.49,3.5,57.95,15
brisbane_urban,15,30.48,2.5,20.98,2.2,6.19,4.5,15.49,3.5,57.96,15
brisbane_urban,16,30.49,2.5,20.99,2.2,6.19,4.5,15.49,3.5,57.98,15
brisbane_urban,17,30.49,2.5,20.99,2.2,6.2,4.5,15.5,3.5,57.99,15
brisbane_urban,18,30.5,2.5,21.0,2.2,6.2,4.5,15.5,3.5,57.99,15
brisbane_urban,19,30.5,2.5,21.0,2.2,6.2,4.5,15.5,3.5,58.0,15
brisbane_urban,20,30.5,2.5,21.0,2.2,6.2,4.5,15.5,3.5,58.0,15
brisbane_urban,21,30.5,2.5,21.0,2.2,6.2,4.5,15.5,3.5,58.0,15
brisbane_urban,22,30.5,2.5,21.0,2.2,6.2,4.5,15.5,3.5,57.99,15
brisbane_urban,23,30.49,2.5,20.99,2.2,6.2,4.5,15.5,3.5,57.99,15
brisbane_urban,24,30.49,2.5,20.99,2.2,6.19,4.5,15.49,3.5,57.98,15
brisbane_urban,25,30.48,2.5,20.98,2.2,6.19,4.5,15.49,3.5,57.96,15
brisbane_urban,26,30.47,2.5,20.97,2.2,6.18,4.5,15.49,3.5,57.95,15
brisbane_urban,27,30.46,2.5,20.96,2.2,6.18,4.5,15.48,3.5,57.93,15
brisbane_urban,28,30.45,2.5,20.94,2.2,6.17,4.5,15.48,3.5,57.91,15
brisbane_urban,29,30.43,2.5,20.93,2.2,6.16,4.5,15.47,3.5,57.88,15
brisbane_urban,30,30.42,2.5,20.91,2.2,6.16,4.5,15.46,3.5,57.85,15
brisbane_urban,31,30.4,2.5,20.89,2.2,6.15,4.5,15.46,3.5,57.82,15
brisbane_urban,32,30.38,2.5,20.87,2.2,6.14,4.5,15.45,3.5,57.79,15
brisbane_urban,33,30.36,2.5,20.85,2.2,6.13,4.5,15.44,3.5,57.75,15
brisbane_urban,34,30.34,2.5,20.83,2.2,6.11,4.5,15.43,3.5,57.71,15
brisbane_urban,35,30.32,2.5,20.8,2.2,6.1,4.5,15.42,3.5,57.67,15
brisbane_urban,36,30.29,2.5,20.77,2.2,6.09,4.5,15.41,3.5,57.62,15
brisbane_urban,37,30.27,2.5,20.74,2.2,6.07,4.5,15.39,3.5,57.57,15
brisbane_urban,38,30.24,2.5,20.71,2.2,6.06,4.5,15.38,3.5,57.52,15
brisbane_urban,39,30.21,2.5,20.68,2.2,6.04,4.5,15.37,3.5,57.47,15
brisbane_urban,40,30.18,2.5,20.65,2.2,6.02,4.5,15.35,3.5,57.41,15
brisbane_urban,41,30.14,2.5,20.61,2.2,6.01,4.5,15.34,3.5,57.35,15
brisbane_urban,42,30.11,2.5,20.57,2.2,5.99,4.5,15.32,3.5,57.29,15
brisbane_urban,43,30.07,2.5,20.54,2.2,5.97,4.5,15.31,3.5,57.23,15
brisbane_urban,44,30.04,2.5,20.5,2.2,5.95,4.5,15.29,3.5,57.16,15
brisbane_urban,45,30.0,2.5,20.45,2.2,5.93,4.5,15.27,3.5,57.09,15
brisbane_urban,46,29.96,2.5,20.41,2.2,5.9,4.5,15.25,3.5,57.02,15
brisbane_urban,47,29.92,2.5,20.36,2.2,5.88,4.5,15.23,3.5,56.94,15
brisbane_urban,48,29.87,2.5,20.32,2.2,5.86,4.5,15.22,3.5,56.86,15
