area_id,day_of_year,temperature_2m_max_normal_mean,temperature_2m_max_normal_std,temperature_2m_min_normal_mean,temperature_2m_min_normal_std,precipitation_sum_normal_mean,precipitation_sum_normal_std,windspeed_10m_max_normal_mean,windspeed_10m_max_normal_std,cloudcover_mean_normal_mean,cloudcover_mean_normal_std
costa_rica_cloud_forest,1,23.57,1.5,15.17,1.2,8.52,5.0,11.57,3,87.83,10
costa_rica_cloud_forest,2,23.59,1.5,15.19,1.2,8.57,5.0,11.59,3,87.94,10
costa_rica_cloud_forest,3,23.61,1.5,15.21,1.2,8.62,5.0,11.61,3,88.04,10
costa_rica_cloud_forest,4,23.63,1.5,15.22,1.2,8.66,5.0,11.63,3,88.14,10
costa_rica_cloud_forest,5,23.65,1.5,15.24,1.2,8.71,5.0,11.65,3,88.24,10
costa_rica_cloud_forest,6,23.67,1.5,15.25,1.2,8.75,5.0,11.67,3,88.34,10
costa_rica_cloud_forest,7,23.69,1.5,15.26,1.2,8.79,5.0,11.69,3,88.43,10
costa_rica_cloud_forest,8,23.7,1.5,15.28,1.2,8.83,5.0,11.7,3,88.52,10
costa_rica_cloud_forest,9,23.72,1.5,15.29,1.2,8.87,5.0,11.72,3,88.61,10
costa_rica_cloud_forest,10,23.74,1.5,15.3,1.2,8.91,5.0,11.74,3,88.7,10
costa_rica_cloud_forest,11,23.76,1.5,15.32,1.2,8.95,5.0,11.76,3,88.78,10
costa_rica_cloud_forest,12,23.77,1.5,15.33,1.2,8.99,5.0,11.77,3,88.86,10
costa_rica_cloud_forest,13,23.79,1.5,15.34,1.2,9.02,5.0,11.79,3,88.94,10
costa_rica_cloud_forest,14,23.8,1.5,15.35,1.2,9.06,5.0,11.8,3,89.02,10
costa_rica_cloud_forest,15,23.82,1.5,15.36,1.2,9.09,5.0,11.82,3,89.09,10
costa_rica_cloud_forest,16,23.83,1.5,15.37,1.2,9.12,5.0,11.83,3,89.16,10
costa_rica_cloud_forest,17,23.85,1.5,15.38,1.2,9.15,5.0,11.85,3,89.23,10
costa_rica_cloud_forest,18,23.86,1.5,15.39,1.2,9.18,5.0,11.86,3,89.29,10
costa_rica_cloud_forest,19,23.87,1.5,15.4,1.2,9.21,5.0,11.87,3,89.35,10
costa_rica_cloud_forest,20,23.88,1.5,15.41,1.2,9.24,5.0,11.88,3,89.41,10
costa_rica_cloud_forest,21,23.89,1.5,15.42,1.2,9.26,5.0,11.89,3,89.47,10
costa_rica_cloud_forest,22,23.9,1.5,15.43,1.2,9.29,5.0,11.9,3,89.52,10
costa_rica_cloud_forest,23,23.91,1.5,15.44,1.2,9.31,5.0,11.91,3,89.57,10
costa_rica_cloud_forest,24,23.92,1.5,15.44,1.2,9.33,5.0,11.92,3,89.62,10
costa_rica_cloud_forest,25,23.93,1.5,15.45,1.2,9.35,5.0,11.93,3,89.67,10
costa_rica_cloud_forest,26,23.94,1.5,15.46,1.2,9.37,5.0,11.94,3,89.71,10
costa_rica_cloud_forest,27,23.95,1.5,15.46,1.2,9.39,5.0,11.95,3,89.75,10
costa_rica_cloud_forest,28,23.96,1.5,15.47,1.2,9.4,5.0,11.96,3,89.79,10
costa_rica_cloud_forest,29,23.96,1.5,15.47,1.2,9.42,5.0,11.96,3,89.82,10
costa_rica_cloud_forest,30,23.97,1.5,15.48,1.2,9.43,5.0,11.97,3,89.85,10
costa_rica_cloud_forest,31,23.98,1.5,15.48,1.2,9.45,5.0,11.98,3,89.88,10
costa_rica_cloud_forest,32,23.98,1.5,15.49,1.2,9.46,5.0,11.98,3,89.91,10
costa_rica_cloud_forest,33,23.99,1.5,15.49,1.2,9.47,5.0,11.99,3,89.93,10
costa_rica_cloud_forest,34,23.99,1.5,15.49,1.2,9.48,5.0,11.99,3,89.95,10
costa_rica_cloud_forest,35,23.99,1.5,15.49,1.2,9.48,5.0,11.99,3,89.96,10
costa_rica_cloud_forest,36,24.0,1.5,15.5,1.2,9.49,5.0,12.0,3,89.98,10
costa_rica_cloud_forest,37,24.0,1.5,15.5,1.2,9.49,5.0,12.0,3,89.99,10
costa_rica_cloud_forest,38,24.0,1.5,15.5,1.2,9.5,5.0,12.0,3,89.99,10
costa_rica_cloud_forest,39,24.0,1.5,15.5,1.2,9.5,5.0,12.0,3,90.0,10
costa_rica_cloud_forest,40,24.0,1.5,15.5,1.2,9.5,5.0,12.0,3,90.0,10
costa_rica_cloud_forest,41,24.0,1.5,15.5,1.2,9.5,5.0,12.0,3,90.0,10
costa_rica_cloud_forest,42,24.0,1.5,15.5,1.2,9.5,5.0,12.0,3,89.99,10
