area_id,day_of_year,temperature_2m_max_normal_mean,temperature_2m_max_normal_std,temperature_2m_min_normal_mean,temperature_2m_min_normal_std,precipitation_sum_normal_mean,precipitation_sum_normal_std,windspeed_10m_max_normal_mean,windspeed_10m_max_normal_std,cloudcover_mean_normal_mean,cloudcover_mean_normal_std
serengeti,1,26.7875,1.7056279391082532,15.7875,1.0632497354808041,3.7625,6.424938391403713,12.43125,4.6274137845381125,64.125,22.74459642786978
serengeti,2,27.43125,1.6032129199412872,15.59375,1.1292881238491197,2.14375,3.4060668911027965,13.3375,4.907664074350105,52.875,26.31317794059344
serengeti,3,27.81875,1.5710797773081622,15.83125,1.194832624261658,2.8125,6.846398079769147,12.8125,5.133014059335249,56.5625,30.302846400957122
serengeti,4,27.43125,2.4382285236075254,16.125,1.2401612798342,2.06875,2.835893451218974,15.38125,4.9233076618604015,60.4375,32.853145460772346
serengeti,5,27.575,2.005824851110718,15.93125,1.220228803681233,0.8625,1.6552441914513196,15.3125,4.861121269830655,59.125,26.191283537339928
serengeti,6,27.98125,2.408933027988395,16.325,0.8362615220930196,2.15625,3.240775370185351,14.25,4.414974518612763,59.8125,28.770861996123788
serengeti,7,27.99375,2.1526630793817536,16.26875,1.1487493199127474,2.04375,3.050020491734441,13.23125,3.6875861571855744,69.5,23.98054767236701
serengeti,8,27.9625,1.7477127910500632,16.38125,1.2023414656411058,2.05625,2.7432265066280372,13.918750000000001,3.6403697156561816,64.375,19.07834723799033
serengeti,9,27.650000000000002,2.5327192238119625,16.31875,1.3307735845489772,3.83125,5.458536891878628,14.26875,3.048435391038055,66.3125,17.685092592350202
serengeti,10,27.2875,2.746361228971892,16.4875,1.5649813630413199,3.25625,4.072013220345271,13.9625,5.3491276547364865,72.375,19.053870997778905
serengeti,11,27.61875,2.674127583593075,16.39375,1.5114976017182413,2.21875,3.767973593325728,14.44375,5.148070026718751,71.4375,26.792956163887553
serengeti,12,27.43125,3.049747257287616,16.19375,1.2566987175399942,4.86875,8.036310824418544,14.675,5.35194668633137,64.625,26.20146306347542
serengeti,13,27.34375,3.672595585322911,16.10625,1.1180153546947966,3.375,6.728199362880582,12.95,5.9453062718977465,60.0,23.22642173617509
serengeti,14,28.30625,2.0230237269987708,16.1875,0.9583840566286566,1.7125,3.1656226349119168,13.91875,4.798224498013128,61.5,23.78514942844239
serengeti,15,28.26875,2.485616958959418,16.2,1.2827054741184096,3.31875,4.579842610104995,14.83125,6.34084313531463,64.4375,21.206818871925762
serengeti,16,27.91875,2.631911536000656,16.46875,1.2980594490751702,2.78125,4.2236191037229345,15.4,6.174463539450208,66.25,22.778644969942057
serengeti,17,27.55,2.616613587572048,16.2625,1.2338962679253065,1.55625,3.8643617411762405,13.6,5.147815070493501,73.5625,21.077535434675468
serengeti,18,27.4875,2.683747380063928,16.26875,1.0196200272650593,2.04375,2.8125833320988023,15.7125,4.1692325432865935,73.4375,19.919734770657296
serengeti,19,27.31875,2.7342808317118164,16.14375,1.4104225135280088,2.99375,4.064393148634451,13.4,3.9115214431215897,71.4375,23.37225919760433
serengeti,20,27.7375,2.509415602618799,16.61875,1.3186956939845271,2.375,3.410669533488501,13.74375,5.10058411687655,70.875,19.513670421869215
serengeti,21,27.5375,2.616072119291312,16.51875,1.6730087666636217,3.8749999999999996,6.412435834636736,13.70625,6.2956565715314134,66.3125,24.694719408542927
serengeti,22,28.1875,1.8994297389830803,15.84375,1.372087825177382,1.175,1.7357035077070815,14.45625,5.348765433879734,62.375,25.426692011873403
serengeti,23,28.00625,2.435971743131134,16.19375,1.2933000425268688,2.6999999999999997,5.478685973844458,14.63125,4.835661795452614,71.5,22.297981971469973
serengeti,24,28.16875,2.717527982069979,16.41875,1.3176842059714706,0.825,1.989807360860175,13.5125,3.5082521764168173,71.5,21.316660151158764
serengeti,25,28.24375,2.647003022287659,16.3125,1.6028620235898867,2.825,6.497948394172836,13.35,3.1268727721692375,56.9375,24.874267158384118
serengeti,26,28.26875,2.4007550895499525,16.2,1.667732992218279,0.79375,1.7949814298018052,13.2875,4.185988533190218,54.125,20.11591409804685
serengeti,27,28.6125,2.3474454200257777,16.6,1.557348173445275,1.29375,2.550939369461114,13.93125,4.246837058329411,54.875,19.81203338041471
serengeti,28,28.20625,2.720163904375372,16.3125,1.2955693729013509,1.8,3.990488691877224,13.46875,3.8859951535396093,61.1875,28.46335363234628
serengeti,29,28.4125,2.933001875212493,16.3,1.0893423092245464,1.5125,3.3537789631001824,14.31875,3.8095001859386577,60.0625,22.88949904796229
serengeti,30,28.35625,2.9241451742346865,16.7375,0.8163945124754324,2.78125,4.632525409176583,14.15625,3.788573830172334,62.0,28.565713714171398
serengeti,31,28.35625,2.695915119830989,16.625,0.7827302643099131,1.6,2.4816661070068764,13.0375,3.506541506004646,62.125,27.846902879853623
serengeti,32,28.0125,3.3258332289317623,16.6125,1.0177589760514691,3.1,5.289234349128426,13.9625,2.8453177912727665,68.6875,26.82217676973043
serengeti,33,28.4625,2.6431988196123273,16.2625,1.209889802144531,1.45,3.091493705853747,12.475,3.6585060703334453,65.875,27.818159536532974
serengeti,34,28.9125,2.5070234675141485,16.39375,1.1918997441060217,1.625,2.868332849118689,14.00625,3.5388263120230508,56.0,27.028380146307942
serengeti,35,29.30625,2.3766836137778196,16.2625,1.4379962911403261,1.5875,2.952259022059774,14.65625,3.4382105326269174,59.0625,24.304920626627577
serengeti,36,29.34375,2.222001725171847,16.6,1.4601369798755184,1.0875,2.622181026041744,14.425,3.663968704378719,55.375,29.275416307885354
serengeti,37,29.425,1.752902355143225,16.64375,1.3366469242099794,2.525,4.559459032239094,15.75625,4.657748919810941,56.9375,26.230945465232473
serengeti,38,28.76875,2.845749754751228,17.13125,1.216398372244882,1.6375,3.8904798333024853,13.84375,2.854462880006208,60.5,29.2665907364239
serengeti,39,29.325,2.2206605623852855,16.99375,1.1985929250583782,1.28125,1.8360169752301676,13.71875,2.837656016268826,61.9375,23.049132304709435
serengeti,40,29.425,2.5522539058643834,17.18125,1.4199618539477277,1.43125,3.348575567809891,14.1375,3.311771932566211,67.6875,19.077801235991537
serengeti,41,29.33125,2.698078019628046,16.89375,1.5198547079682763,1.2625000000000002,2.6073933343475435,14.41875,4.248014241972359,60.0,26.778100505201387
