species,common_name,taxon_class,area_id,lat,lon,date
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.962787,-59.830015,2026-01-03
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.610961,-60.897057,2026-08-18
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.460902,-59.649193,2025-07-13
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.387029,-61.043858,2024-01-15
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-3.057944,-60.139879,2024-04-30
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.511806,-60.841005,2024-07-11
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.006495,-59.656198,2023-03-14
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-3.140294,-60.167921,2023-07-05
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.672377,-61.17549,2022-08-22
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-1.773736,-60.006944,2019-03-22
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.585731,-60.002723,2019-08-25
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.404127,-60.137628,2019-08-25
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.247948,-59.967163,2018-06-28
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.535895,-59.887525,2018-08-03
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.482215,-59.660411,2017-07-20
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.52389,-59.925218,2017-10-24
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.055719,-60.13905,2016-10-20
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-3.163242,-60.076034,2015-05-06
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.252475,-59.892772,2013-06-22
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.231582,-59.975272,2013-06-23
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.876274,-59.99541,2012-05-18
Panthera onca,Jaguar,Mammalia,amazon_rainforest,-2.333241,-60.937417,2008-05-01
Ara macao,Scarlet Macaw,Aves,amazon_rainforest,-3.648879,-59.839125,2026-01-07
Ara macao,Scarlet Macaw,Aves,amazon_rainforest,-3.001554,-60.06546,2026-01-26
Ara macao,Scarlet Macaw,Aves,amazon_rainforest,-2.417644,-61.110722,2026-01-27
Ara macao,Scarlet Macaw,Aves,amazon_rainforest,-3.78241,-59.915362,2026-01-07
Ara macao,Scarlet Macaw,Aves,amazon_rainforest,-3.003314,-59.939632,2026-02-07
Ara macao,Scarlet Macaw,Aves,amazon_rainforest,-2.015272,-59.910229,2026-02-10
Ara macao,Scarlet Macaw,Aves,amazon_rainforest,-3.055912,-59.839493,2026-07-13
Ara macao,Scarlet Macaw,Aves,amazon_rainforest,-2.712806,-60.959188,2026-07-01
Ara macao,Scarlet Macaw,Aves,amazon_rainforest,-3.117785,-60.515431,2026-07-06
Ara macao,Scarlet Macaw,Aves,amazon_rainforest,-3.183707,-60.032571,2026-07-18
Ara macao,Scarlet Macaw,Aves,amazon_rainforest,-3.149635,-59.863832,2026-08-22
Ara macao,Scarlet Macaw,Aves,amazon_rainforest,-3.602884,-59.848579,2025-01-25
Ara macao,Scarlet Macaw,Aves,amazon_rainforest,-3.113074,-60.107786,2025-04-29
Ara macao,Scarlet Macaw,Aves,amazon_rainforest,-3.103451,-59.858167,2025-05-29
Ara macao,Scarlet Macaw,Aves,amazon_rainforest,-3.12346,-59.926797,2025-05-31
