species,common_name,taxon_class,area_id,lat,lon,date
Elephas maximus,Asian Elephant,Mammalia,borneo_rainforest,5.15341,117.95107,2011-09-27
Buceros rhinoceros,Rhinoceros Hornbill,Aves,borneo_rainforest,4.97626,118.23614,2011-10-03
Neofelis diardi,Sunda Clouded Leopard,Mammalia,borneo_rainforest,5.18153,117.98539,2011-10-04
Buceros rhinoceros,Rhinoceros Hornbill,Aves,borneo_rainforest,4.56422,118.27665,2011-10-06
Nasalis larvatus,Proboscis Monkey,Mammalia,borneo_rainforest,5.0261,117.85466,2011-10-10
Nasalis larvatus,Proboscis Monkey,Mammalia,borneo_rainforest,5.44234,117.43174,2011-10-27
Elephas maximus,Asian Elephant,Mammalia,borneo_rainforest,4.91872,117.57416,2011-10-30
Pongo pygmaeus,Bornean Orangutan,Mammalia,borneo_rainforest,5.0684,118.01543,2011-11-07
Neofelis diardi,Sunda Clouded Leopard,Mammalia,borneo_rainforest,5.09553,117.8072,2011-11-10
Pongo pygmaeus,Bornean Orangutan,Mammalia,borneo_rainforest,4.59418,118.33224,2011-11-17
Buceros rhinoceros,Rhinoceros Hornbill,Aves,borneo_rainforest,5.14624,117.68749,2011-12-24
Nasalis larvatus,Proboscis Monkey,Mammalia,borneo_rainforest,4.89171,117.85415,2012-01-12
Buceros rhinoceros,Rhinoceros Hornbill,Aves,borneo_rainforest,4.59283,117.80646,2012-01-27
Buceros rhinoceros,Rhinoceros Hornbill,Aves,borneo_rainforest,5.14766,118.2891,2012-02-01
Elephas maximus,Asian Elephant,Mammalia,borneo_rainforest,5.37907,118.35526,2012-02-24
Buceros rhinoceros,Rhinoceros Hornbill,Aves,borneo_rainforest,5.01977,117.85153,2012-02-28
Buceros rhinoceros,Rhinoceros Hornbill,Aves,borneo_rainforest,5.21259,118.27009,2012-03-19
Buceros rhinoceros,Rhinoceros Hornbill,Aves,borneo_rainforest,4.29931,117.7762,2012-04-02
Buceros rhinoceros,Rhinoceros Hornbill,Aves,borneo_rainforest,5.30735,117.13008,2012-04-03
Elephas maximus,Asian Elephant,Mammalia,borneo_rainforest,4.66317,118.39708,2012-04-07
Nasalis larvatus,Proboscis Monkey,Mammalia,borneo_rainforest,4.33742,117.74122,2012-04-19
Elephas maximus,Asian Elephant,Mammalia,borneo_rainforest,5.30281,117.87394,2012-04-22
Neofelis diardi,Sunda Clouded Leopard,Mammalia,borneo_rainforest,5.29414,117.78938,2012-04-24
Buceros rhinoceros,Rhinoceros Hornbill,Aves,borneo_rainforest,4.93919,118.38489,2012-04-29
Buceros rhinoceros,Rhinoceros Hornbill,Aves,borneo_rainforest,5.41557,117.0865,2012-05-10
Nasalis larvatus,Proboscis Monkey,Mammalia,borneo_rainforest,5.24283,118.24481,2012-05-10
Elephas maximus,Asian Elephant,Mammalia,borneo_rainforest,4.98201,117.85927,2012-05-20
Nasalis larvatus,Proboscis Monkey,Mammalia,borneo_rainforest,5.02743,117.64839,2012-05-22
Nasalis larvatus,Proboscis Monkey,Mammalia,borneo_rainforest,5.00292,118.25075,2012-06-18
Pongo pygmaeus,Bornean Orangutan,Mammalia,borneo_rainforest,5.12795,117.87957,2012-06-18
Buceros rhinoceros,Rhinoceros Hornbill,Aves,borneo_rainforest,5.5153,117.73144,2012-07-12
Buceros rhinoceros,Rhinoceros Hornbill,Aves,borneo_rainforest,5.23562,118.3379,2012-07-14
Nasalis larvatus,Proboscis Monkey,Mammalia,borneo_rainforest,4.51474,117.86582,2012-07-17
Elephas maximus,Asian Elephant,Mammalia,borneo_rainforest,5.14482,117.8878,2012-07-20
Buceros rhinoceros,Rhinoceros Hornbill,Aves,borneo_rainforest,4.79293,117.06498,2012-07-20
Buceros rhinoceros,Rhinoceros Hornbill,Aves,borneo_rainforest,4.37302,117.50619,2012-07-21
Buceros rhinoceros,Rhinoceros Hornbill,Aves,borneo_rainforest,5.06749,117.99739,2012-08-06
