species,common_name,taxon_class,area_id,lat,lon,date
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.575417,152.925311,2026-01-02
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.296678,153.041305,2026-01-02
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.574403,152.925108,2026-01-02
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.580678,152.927517,2026-01-02
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.300193,153.002474,2026-01-01
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.69168,153.029776,2026-01-01
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.575417,152.925311,2026-01-02
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.54165,152.935395,2026-01-20
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.296608,153.039247,2026-01-23
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.437067,152.881653,2026-01-20
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.654401,152.902981,2026-01-22
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.283038,153.026947,2026-01-12
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.594895,152.902313,2026-01-06
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.301005,153.039689,2026-01-06
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.300645,153.039581,2026-01-27
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.572745,152.926503,2026-01-15
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.298189,153.036831,2026-01-02
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.477249,152.992797,2026-01-20
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.573925,152.926011,2026-01-15
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.571613,152.928162,2026-01-08
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.690767,153.029587,2026-01-13
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.678947,152.927231,2026-01-30
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.688432,153.026887,2026-01-28
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.678947,152.927231,2026-01-30
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.297972,153.036833,2026-01-19
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.299781,153.036347,2026-02-14
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.29953,153.035295,2026-02-14
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.300872,153.038867,2026-02-19
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.638074,152.883117,2026-02-22
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.297074,153.036428,2026-02-19
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.297098,153.038753,2026-02-19
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.299944,153.033561,2026-02-25
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.299944,153.033561,2026-02-25
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.299944,153.033561,2026-02-25
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.299944,153.033561,2026-02-25
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,brisbane_urban,-27.299944,153.033561,2026-02-25
