species,common_name,taxon_class,area_id,lat,lon,date
Loxodonta africana,African Elephant,Mammalia,kruger,-24.408846,31.357931,2026-01-03
Loxodonta africana,African Elephant,Mammalia,kruger,-24.614348,31.410418,2026-01-01
Loxodonta africana,African Elephant,Mammalia,kruger,-24.585607,31.239309,2026-01-03
Loxodonta africana,African Elephant,Mammalia,kruger,-24.644155,31.527908,2026-01-01
Loxodonta africana,African Elephant,Mammalia,kruger,-24.600364,31.57775,2026-01-01
Loxodonta africana,African Elephant,Mammalia,kruger,-24.087351,30.926374,2026-01-18
Loxodonta africana,African Elephant,Mammalia,kruger,-24.602815,31.875466,2026-01-05
Loxodonta africana,African Elephant,Mammalia,kruger,-24.264603,31.747173,2026-01-07
Loxodonta africana,African Elephant,Mammalia,kruger,-23.947404,31.17389,2026-01-30
Loxodonta africana,African Elephant,Mammalia,kruger,-24.537263,31.958405,2026-01-31
Loxodonta africana,African Elephant,Mammalia,kruger,-23.850576,31.401092,2026-01-24
Loxodonta africana,African Elephant,Mammalia,kruger,-23.917453,31.14999,2026-01-30
Loxodonta africana,African Elephant,Mammalia,kruger,-24.703987,31.91886,2026-01-28
Loxodonta africana,African Elephant,Mammalia,kruger,-24.70497,31.834283,2026-01-28
Loxodonta africana,African Elephant,Mammalia,kruger,-24.67718,31.848096,2026-01-30
Loxodonta africana,African Elephant,Mammalia,kruger,-24.109743,31.336499,2026-01-05
Loxodonta africana,African Elephant,Mammalia,kruger,-24.116082,31.265355,2026-01-07
Loxodonta africana,African Elephant,Mammalia,kruger,-24.041762,31.288734,2026-01-08
Loxodonta africana,African Elephant,Mammalia,kruger,-24.074235,31.284524,2026-01-08
Loxodonta africana,African Elephant,Mammalia,kruger,-24.036241,31.200478,2026-01-04
Loxodonta africana,African Elephant,Mammalia,kruger,-23.932051,31.44769,2026-02-13
Loxodonta africana,African Elephant,Mammalia,kruger,-24.435595,31.690487,2026-02-24
Loxodonta africana,African Elephant,Mammalia,kruger,-24.084041,30.805164,2026-02-26
Loxodonta africana,African Elephant,Mammalia,kruger,-24.429727,31.938521,2026-02-26
Loxodonta africana,African Elephant,Mammalia,kruger,-23.807419,31.548504,2026-02-16
Loxodonta africana,African Elephant,Mammalia,kruger,-23.838918,31.594858,2026-02-09
Loxodonta africana,African Elephant,Mammalia,kruger,-23.963503,31.475971,2026-02-14
Loxodonta africana,African Elephant,Mammalia,kruger,-23.962176,31.526463,2026-02-25
Loxodonta africana,African Elephant,Mammalia,kruger,-23.95501,31.408263,2026-02-16
Loxodonta africana,African Elephant,Mammalia,kruger,-23.924178,31.551862,2026-02-09
Loxodonta africana,African Elephant,Mammalia,kruger,-23.852855,31.502157,2026-02-11
Loxodonta africana,African Elephant,Mammalia,kruger,-23.809571,31.569941,2026-02-07
Loxodonta africana,African Elephant,Mammalia,kruger,-23.882093,31.486669,2026-02-10
Loxodonta africana,African Elephant,Mammalia,kruger,-23.902994,31.527171,2026-02-17
Loxodonta africana,African Elephant,Mammalia,kruger,-23.97546,31.587438,2026-02-11
Loxodonta africana,African Elephant,Mammalia,kruger,-24.430146,31.544094,2026-02-15
Loxodonta africana,African Elephant,Mammalia,kruger,-24.495246,31.466266,2026-03-15
Loxodonta africana,African Elephant,Mammalia,kruger,-24.379776,31.347256,2026-03-09
Loxodonta africana,African Elephant,Mammalia,kruger,-24.281995,30.721244,2026-03-09
Loxodonta africana,African Elephant,Mammalia,kruger,-23.966641,31.796416,2026-03-06
Loxodonta africana,African Elephant,Mammalia,kruger,-23.894395,31.742285,2026-03-06
Loxodonta africana,African Elephant,Mammalia,kruger,-24.192763,30.757337,2026-03-26
Loxodonta africana,African Elephant,Mammalia,kruger,-24.127801,31.607993,2026-03-30
Loxodonta africana,African Elephant,Mammalia,kruger,-23.844108,31.325295,2026-03-29
Loxodonta africana,African Elephant,Mammalia,kruger,-24.32442,30.831241,2026-03-19
Loxodonta africana,African Elephant,Mammalia,kruger,-24.412553,31.599485,2026-03-17
Loxodonta africana,African Elephant,Mammalia,kruger,-24.563942,31.406952,2026-03-17
Loxodonta africana,African Elephant,Mammalia,kruger,-24.433224,31.474466,2026-03-17
Loxodonta africana,African Elephant,Mammalia,kruger,-24.523689,31.49095,2026-03-17
Loxodonta africana,African Elephant,Mammalia,kruger,-24.55103,31.564378,2026-03-17
Loxodonta africana,African Elephant,Mammalia,kruger,-24.355312,30.89818,2026-03-16
Loxodonta africana,African Elephant,Mammalia,kruger,-24.453273,31.443877,2026-03-17
Loxodonta africana,African Elephant,Mammalia,kruger,-24.429985,31.734818,2026-03-04
Loxodonta africana,African Elephant,Mammalia,kruger,-24.369877,30.947239,2026-03-15
Loxodonta africana,African Elephant,Mammalia,kruger,-24.49754,31.596586,2026-03-17
Loxodonta africana,African Elephant,Mammalia,kruger,-24.271092,30.933895,2026-03-16
Loxodonta africana,African Elephant,Mammalia,kruger,-24.05299,30.879785,2026-03-27
Loxodonta africana,African Elephant,Mammalia,kruger,-24.295609,31.799514,2026-03-18
Loxodonta africana,African Elephant,Mammalia,kruger,-24.487071,31.5088,2026-03-18
Loxodonta africana,African Elephant,Mammalia,kruger,-24.311772,30.97249,2026-03-16
Loxodonta africana,African Elephant,Mammalia,kruger,-24.313426,31.412627,2026-03-18
Loxodonta africana,African Elephant,Mammalia,kruger,-24.446438,31.543984,2026-03-17
Loxodonta africana,African Elephant,Mammalia,kruger,-24.44113,31.456052,2026-03-17
Loxodonta africana,African Elephant,Mammalia,kruger,-24.563777,31.373685,2026-03-17
Loxodonta africana,African Elephant,Mammalia,kruger,-24.254005,31.446427,2026-03-18
Loxodonta africana,African Elephant,Mammalia,kruger,-24.268056,30.859375,2026-03-16
Loxodonta africana,African Elephant,Mammalia,kruger,-24.381199,30.894538,2026-03-19
Loxodonta africana,African Elephant,Mammalia,kruger,-24.424993,31.058531,2026-04-12
Loxodonta africana,African Elephant,Mammalia,kruger,-24.528135,31.17997,2026-04-12
Loxodonta africana,African Elephant,Mammalia,kruger,-23.830773,31.472485,2026-04-27
