species,common_name,taxon_class,area_id,lat,lon,date
Vultur gryphus,Andean Condor,Aves,patagonia,-50.87952,-73.32524,2011-09-28
Puma concolor,Puma / Cougar,Mammalia,patagonia,-50.82686,-73.37288,2011-10-10
Lama guanicoe,Guanaco,Mammalia,patagonia,-50.77455,-73.19969,2011-10-16
Spheniscus magellanicus,Magellanic Penguin,Aves,patagonia,-50.66589,-73.5227,2011-10-19
Lama guanicoe,Guanaco,Mammalia,patagonia,-51.27585,-72.91277,2011-10-22
Puma concolor,Puma / Cougar,Mammalia,patagonia,-51.49246,-73.06566,2011-10-23
Vultur gryphus,Andean Condor,Aves,patagonia,-51.42421,-74.10906,2011-10-25
Lama guanicoe,Guanaco,Mammalia,patagonia,-50.38375,-72.95076,2011-10-28
Spheniscus magellanicus,Magellanic Penguin,Aves,patagonia,-51.29378,-73.34782,2011-10-31
Lama guanicoe,Guanaco,Mammalia,patagonia,-51.12052,-72.62265,2011-11-04
Lama guanicoe,Guanaco,Mammalia,patagonia,-50.74046,-73.14051,2011-11-08
Lama guanicoe,Guanaco,Mammalia,patagonia,-51.29191,-73.57284,2011-11-14
Lama guanicoe,Guanaco,Mammalia,patagonia,-50.08701,-72.79072,2011-11-17
Lama guanicoe,Guanaco,Mammalia,patagonia,-50.73674,-72.99881,2011-11-25
Lama guanicoe,Guanaco,Mammalia,patagonia,-51.0571,-72.79004,2011-12-01
Vultur gryphus,Andean Condor,Aves,patagonia,-50.88028,-74.05421,2011-12-03
Lama guanicoe,Guanaco,Mammalia,patagonia,-51.2084,-73.2928,2011-12-15
Spheniscus magellanicus,Magellanic Penguin,Aves,patagonia,-51.15866,-73.28826,2011-12-17
Spheniscus magellanicus,Magellanic Penguin,Aves,patagonia,-51.42356,-73.85313,2011-12-21
Spheniscus magellanicus,Magellanic Penguin,Aves,patagonia,-51.02583,-73.45084,2011-12-26
Spheniscus magellanicus,Magellanic Penguin,Aves,patagonia,-51.66774,-74.32956,2011-12-29
Spheniscus magellanicus,Magellanic Penguin,Aves,patagonia,-51.17381,-73.39866,2011-12-29
Lama guanicoe,Guanaco,Mammalia,patagonia,-50.8924,-73.08219,2012-01-02
Puma concolor,Puma / Cougar,Mammalia,patagonia,-50.65746,-73.1938,2012-01-10
Puma concolor,Puma / Cougar,Mammalia,patagonia,-50.43597,-74.39632,2012-01-10
Spheniscus magellanicus,Magellanic Penguin,Aves,patagonia,-50.83033,-73.11491,2012-01-13
Spheniscus magellanicus,Magellanic Penguin,Aves,patagonia,-50.96371,-73.35671,2012-01-17
Lama guanicoe,Guanaco,Mammalia,patagonia,-50.59261,-73.47855,2012-01-19
Puma concolor,Puma / Cougar,Mammalia,patagonia,-51.52599,-74.18715,2012-01-25
Vultur gryphus,Andean Condor,Aves,patagonia,-51.11156,-73.64472,2012-01-25
Spheniscus magellanicus,Magellanic Penguin,Aves,patagonia,-51.1023,-73.32992,2012-01-26
Lama guanicoe,Guanaco,Mammalia,patagonia,-51.01562,-72.22902,2012-01-30
