species,common_name,taxon_class,area_id,lat,lon,date
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.26031,-3.37136,2026-01-02
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.157939,-3.821031,2026-02-04
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.947505,-3.144719,2026-02-10
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.980891,-3.499028,2026-03-24
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.260616,-3.585236,2026-03-22
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.684821,-4.575918,2026-03-23
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.854512,-3.13558,2026-04-05
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.686011,-4.576863,2026-04-14
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.760863,-3.404228,2026-04-29
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.709894,-4.652003,2026-04-27
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.227931,-3.622925,2026-04-27
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.111644,-3.972581,2026-05-03
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.185763,-4.531491,2026-05-13
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.145203,-3.846933,2026-05-19
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.985683,-3.508967,2026-05-29
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.886665,-3.414638,2026-05-06
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.951754,-3.212717,2026-05-25
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.959534,-3.214227,2026-05-25
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.838823,-3.451606,2026-05-26
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.894754,-3.401642,2026-05-23
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.008758,-3.364475,2026-06-09
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.278834,-4.0757,2026-06-10
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.30441,-3.393337,2026-06-01
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.908932,-2.938977,2026-06-14
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.30441,-3.393337,2026-06-01
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.90915,-2.937135,2026-06-14
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.296135,-4.022218,2026-06-16
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.947812,-3.144397,2026-06-16
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.99067,-3.505373,2026-06-21
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.008647,-3.402245,2026-06-24
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.988052,-3.541287,2026-06-20
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.437216,-4.579561,2026-06-30
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.433571,-4.579851,2026-06-28
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.617698,-3.936192,2026-06-14
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.702523,-4.579168,2026-07-15
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.935496,-3.145775,2026-07-19
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.886665,-3.414638,2026-07-15
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.879904,-3.39019,2026-07-19
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.092618,-3.980393,2026-07-31
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.24729,-4.469603,2026-07-12
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.684907,-4.575298,2026-08-14
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.58675,-4.40039,2025-01-29
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.937225,-3.1526,2025-02-17
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.049219,-3.561566,2025-02-19
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.80489,-3.56681,2025-02-05
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.91429,-3.39712,2025-02-13
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.94716,-3.39212,2025-02-13
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.853653,-3.771553,2025-02-10
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.087794,-3.894968,2025-03-01
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.26043,-3.44628,2025-03-01
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.624192,-4.472313,2025-03-18
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.897486,-3.401789,2025-04-28
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.826635,-4.118637,2025-04-12
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.826635,-4.118637,2025-04-12
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.67856,-3.82023,2025-04-18
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.68342,-3.83036,2025-04-18
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.60239,-4.3453,2025-04-23
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.68355,-3.8306,2025-04-18
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.185858,-3.33427,2025-04-20
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.00607,-2.75129,2025-04-20
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.277018,-3.336738,2025-04-15
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.312734,-3.975739,2025-05-09
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.83405,-3.101651,2025-05-04
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.262514,-4.087629,2025-05-14
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.929709,-3.161899,2025-05-28
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.947475,-3.144781,2025-05-28
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.768154,-3.944443,2025-05-09
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.83405,-3.101651,2025-05-04
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.599665,-3.998738,2025-05-04
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.907914,-3.405629,2025-05-24
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.825152,-3.063313,2025-06-02
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.756553,-3.404838,2025-06-07
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.817946,-3.058294,2025-06-06
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.950718,-3.140439,2025-06-20
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.210621,-3.823222,2025-06-22
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.39469,-4.06879,2025-06-15
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.184353,-3.832341,2025-06-29
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.313719,-3.960913,2025-06-30
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.802592,-3.210903,2025-06-26
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.817946,-3.058294,2025-06-06
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.756553,-3.404838,2025-06-07
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.825152,-3.063313,2025-06-02
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.887533,-3.417471,2025-06-19
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.883961,-3.41177,2025-07-03
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.158241,-3.819309,2025-07-21
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.159336,-3.818112,2025-07-06
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.50095,-3.304595,2025-07-15
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.685031,-4.576502,2025-07-16
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.213683,-4.611281,2025-07-25
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.282462,-4.113996,2025-07-23
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.685031,-4.576502,2025-07-16
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.68883,-3.61472,2025-08-02
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.83825,-3.83807,2025-08-16
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.8567,-3.83891,2025-08-16
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.83935,-3.83861,2025-08-16
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.57755,-4.27614,2025-08-15
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.83935,-3.83861,2025-08-16
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.01809,-2.67826,2025-08-09
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.823649,-3.490523,2025-08-27
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.158623,-3.825756,2025-09-16
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.109728,-3.979597,2025-09-28
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.774864,-3.859313,2025-10-12
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.195996,-4.221292,2025-10-22
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.144323,-3.814978,2025-10-17
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.661544,-2.825438,2025-10-17
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.774864,-3.859313,2025-10-12
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.328539,-4.001071,2025-10-12
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.27279,-3.43884,2025-12-03
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.30132,-3.27826,2024-01-05
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.30812,-3.37442,2024-01-03
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.950603,-3.140464,2024-02-13
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.186023,-3.240538,2024-02-23
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.242453,-4.094417,2024-03-09
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.946062,-3.160495,2024-03-17
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.33534,-3.24285,2024-03-01
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.771789,-3.142825,2024-03-24
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.821798,-3.267229,2024-03-31
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.777849,-3.167556,2024-03-24
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.33165,-3.39159,2024-03-23
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.121,-3.89,2024-03-21
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.09,-3.932,2024-03-19
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.09,-3.932,2024-03-21
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.121,-3.89,2024-03-29
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.30142,-4.469833,2024-04-29
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.277018,-3.336738,2024-04-15
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.278199,-3.220674,2024-04-18
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.366997,-3.323382,2024-04-16
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.82331,-3.23017,2024-04-24
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.9029,-3.36878,2024-04-11
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.039,-4.019,2024-04-02
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.028,-3.944,2024-04-21
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.093,-3.899,2024-04-27
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.112,-3.869,2024-04-22
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.09,-3.943,2024-04-14
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.044,-3.918,2024-04-20
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.251,-3.635,2024-04-18
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.076,-3.956,2024-04-09
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.076,-3.956,2024-04-22
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.175,-3.677,2024-04-26
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.221,-3.652,2024-04-29
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.279,-3.632,2024-04-26
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.132,-3.871,2024-04-19
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.148,-3.764,2024-04-13
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.142,-3.815,2024-04-26
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.072,-3.893,2024-04-07
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.044,-3.898,2024-04-28
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.09,-3.932,2024-04-28
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.076,-3.956,2024-04-03
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.09,-3.943,2024-04-29
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.093,-3.899,2024-04-11
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.121,-3.89,2024-04-10
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.09,-3.943,2024-04-10
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.116,-3.841,2024-04-30
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.257,-3.684,2024-04-23
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.127,-3.906,2024-04-27
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.076,-3.956,2024-04-19
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.132,-3.871,2024-04-23
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.924062,-3.50629,2024-05-25
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.886664,-3.414638,2024-05-17
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.82227,-3.20023,2024-05-11
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.989424,-3.541192,2024-05-08
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.735105,-4.641711,2024-05-22
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.27346,-3.863199,2024-05-15
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.69685,-4.57536,2024-05-31
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,56.65075,-4.56711,2024-05-31
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.02555,-3.15068,2024-05-31
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.202,-3.75,2024-05-08
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.202,-3.75,2024-05-11
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.121,-3.89,2024-05-24
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.242,-3.717,2024-05-29
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.176,-3.7,2024-05-10
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.171,-3.707,2024-05-11
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.221,-3.652,2024-05-02
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.257,-3.608,2024-05-25
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.242,-3.717,2024-05-28
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.221,-3.684,2024-05-15
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.21,-3.654,2024-05-17
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.087,-3.88,2024-05-26
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.15,-3.665,2024-05-26
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.093,-3.899,2024-05-24
Cervus elaphus,Red Deer,Mammalia,scottish_highlands,57.081,-3.921,2024-05-22
