species,common_name,taxon_class,area_id,lat,lon,date
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.137733,34.493694,2026-01-02
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.221645,35.568508,2026-01-05
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.160258,35.628864,2026-01-03
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.164174,35.521763,2026-01-01
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.052808,34.625226,2026-01-06
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.528453,34.876497,2026-01-21
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.228877,35.548637,2026-01-03
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.229944,35.537306,2026-01-20
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.052808,34.625226,2026-01-06
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.69333,34.965738,2026-01-13
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.180131,35.566506,2026-01-13
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.721413,34.944297,2026-01-12
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.502725,35.115,2026-01-07
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.020803,34.987918,2026-01-14
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.167617,35.518292,2026-01-20
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.431114,35.351186,2026-01-07
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.201745,35.56542,2026-01-01
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.180131,35.566506,2026-01-13
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.022928,35.017333,2026-01-24
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.452308,34.826588,2026-01-24
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.993443,34.974075,2026-01-24
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.553963,34.897655,2026-01-21
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.604252,35.343676,2026-01-25
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.215847,35.574632,2026-01-11
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.778137,34.598827,2026-01-31
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.588949,34.906319,2026-01-29
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.16239,35.551167,2026-01-11
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.530796,35.128587,2026-01-17
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.16625,35.588677,2026-01-24
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.16625,35.588677,2026-01-24
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.16625,35.588677,2026-01-24
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.16625,35.588677,2026-01-24
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.16625,35.588677,2026-01-24
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.16625,35.588677,2026-01-24
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.16625,35.588677,2026-01-24
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.513112,35.188823,2026-01-05
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.00187,35.007924,2026-01-18
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.00187,35.007924,2026-01-18
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.00187,35.007924,2026-01-18
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.00187,35.007924,2026-01-18
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.00187,35.007924,2026-01-18
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.00187,35.007924,2026-01-18
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.00187,35.007924,2026-01-18
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.99993,35.009587,2026-01-18
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.001977,35.007901,2026-01-19
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.001977,35.007901,2026-01-19
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.001977,35.007901,2026-01-19
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.003515,34.997506,2026-01-20
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.003515,34.997506,2026-01-20
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.003515,34.997506,2026-01-20
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.003515,34.997506,2026-01-20
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.003515,34.997506,2026-01-20
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.003515,34.997506,2026-01-20
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.003893,34.997849,2026-01-21
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.61639,35.380344,2026-01-14
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.003893,34.997849,2026-01-21
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.83077,34.988374,2026-01-21
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.795515,34.940649,2026-02-01
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.015061,34.89597,2026-02-06
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.164269,35.521739,2026-02-14
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.622763,35.383821,2026-02-28
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.176528,35.512813,2026-02-24
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.6225,35.384507,2026-02-28
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.522347,35.336242,2026-02-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.630172,35.375252,2026-02-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.576653,34.874632,2026-02-10
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.175542,35.614435,2026-02-07
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.175543,35.614403,2026-02-07
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.155794,35.464808,2026-02-08
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.156888,35.64072,2026-02-07
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.76743,34.967688,2026-02-08
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.15997,35.525615,2026-02-09
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.995008,35.020916,2026-02-22
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.808508,34.986883,2026-02-08
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.175952,35.5036,2026-02-09
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.21353,35.577463,2026-02-07
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.009102,34.975018,2026-02-11
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.995008,35.015536,2026-02-22
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.17551,35.51469,2026-02-07
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.716282,34.941318,2026-02-10
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.230217,35.538182,2026-02-07
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.15969,35.55405,2026-02-07
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.808278,34.987171,2026-02-08
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.175533,35.614427,2026-02-07
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.80833,34.987071,2026-02-08
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.155625,35.578522,2026-02-07
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.176093,35.504047,2026-02-09
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.152222,35.46399,2026-02-08
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.5764,34.874585,2026-02-10
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.716288,34.941318,2026-02-10
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.020028,34.938047,2026-02-11
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.300867,34.862615,2026-02-09
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.175543,35.614405,2026-02-07
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.175277,35.500643,2026-02-09
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.766165,34.966948,2026-02-08
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.011633,34.987673,2026-02-11
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.153187,35.501495,2026-02-09
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.152222,35.46399,2026-02-08
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.010442,34.970925,2026-02-11
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.010423,34.967845,2026-02-11
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.99382,35.0121,2026-02-22
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.998608,35.007918,2026-02-22
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.217468,35.572692,2026-02-07
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.184917,35.565737,2026-02-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.19251,35.508722,2026-02-07
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.8328,34.997838,2026-02-08
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.015435,34.94723,2026-02-11
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.808201,34.986743,2026-02-08
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.025495,35.004642,2026-02-11
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.156442,35.577952,2026-02-07
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.984808,35.277637,2026-02-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.00896,34.97417,2026-02-11
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.159683,35.559838,2026-02-09
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.010448,34.967852,2026-02-11
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.932393,35.100153,2026-02-12
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.013017,34.987331,2026-02-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.139492,35.124356,2026-02-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.013017,34.987336,2026-02-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.156722,35.157883,2026-02-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.02091,34.962921,2026-02-21
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.200975,35.050949,2026-02-24
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.139494,35.124358,2026-02-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.101867,35.051117,2026-02-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.013017,34.987328,2026-02-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.023053,34.995669,2026-02-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.156722,35.157878,2026-02-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.146378,35.133956,2026-02-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.151179,34.587425,2026-02-23
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.16215,35.155544,2026-02-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.156722,35.157883,2026-02-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.146689,35.134408,2026-02-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.184838,35.569695,2026-02-25
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.176042,35.165775,2026-03-02
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.012614,34.989781,2026-03-01
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.961164,35.245747,2026-03-01
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.482125,35.129989,2026-03-16
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.027603,35.32692,2026-03-17
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.012608,34.989792,2026-03-01
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.482132,35.12999,2026-03-16
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.176633,35.567371,2026-03-19
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.961153,35.245736,2026-03-01
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.961161,35.245728,2026-03-01
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.876317,35.094714,2026-03-12
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.216063,35.55922,2026-03-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.864349,35.084819,2026-03-25
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.89454,35.103328,2026-03-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.607785,35.360553,2026-03-19
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.176042,35.503241,2026-03-25
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.522843,35.323129,2026-03-30
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.523578,35.324596,2026-03-26
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.61438,35.376036,2026-03-28
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.561802,35.226588,2026-04-08
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.482125,35.129989,2026-04-18
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.217583,34.88517,2026-05-12
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.197213,34.978163,2026-05-13
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.446067,34.763237,2026-05-14
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.160849,35.565657,2026-05-27
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.397529,34.810399,2026-05-24
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.134621,35.089586,2026-05-16
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.367966,34.565852,2026-05-30
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.71251,34.941303,2026-05-28
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.894269,35.004707,2026-05-16
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.442689,34.858106,2026-05-16
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.181706,35.56192,2026-05-18
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.612999,34.947441,2026-05-16
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.276356,34.595319,2026-05-30
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.173788,35.578276,2026-05-09
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.201135,34.785641,2026-05-28
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.474706,35.284709,2026-06-15
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.470064,35.261648,2026-06-07
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.159497,35.580872,2026-06-01
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.398141,34.890609,2026-06-01
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.466356,35.12636,2026-06-24
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.379881,34.841442,2026-06-16
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.244473,34.40383,2026-06-24
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.230808,35.535644,2026-06-17
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.537231,35.266181,2026-06-22
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.520447,35.275605,2026-06-20
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.367966,34.565852,2026-06-26
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.282837,34.46048,2026-06-09
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.523994,35.309226,2026-06-20
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.91427,35.541759,2026-06-24
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.149691,34.72794,2026-06-26
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.263453,34.666763,2026-06-26
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.530232,35.121768,2026-07-08
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.512786,35.113102,2026-07-11
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.063098,35.421766,2026-07-09
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-3.137566,35.670464,2026-07-13
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.519963,35.006156,2026-07-16
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.617753,35.362744,2026-07-13
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.232572,34.506409,2026-07-11
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.160557,34.227103,2026-07-11
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-1.523062,35.036206,2026-07-13
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.183928,34.424453,2026-07-03
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.161012,34.221419,2026-07-11
Connochaetes taurinus,Blue Wildebeest,Mammalia,serengeti,-2.253155,34.57782,2026-07-11
