species,common_name,taxon_class,area_id,lat,lon,date
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.27,18.96,2026-03-28
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.33,18.84,2026-03-28
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,77.990892,15.933972,2026-04-13
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,77.558533,14.514245,2026-05-26
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,77.674828,14.894295,2026-05-26
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.248142,14.479349,2026-05-29
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.931658,12.316915,2026-06-21
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.934402,12.256542,2026-06-24
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,79.006294,12.083114,2026-06-26
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,79.081538,11.895089,2026-06-30
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.93,12.27,2026-06-17
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,79.07,11.63,2026-06-17
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.23,15.32,2026-06-16
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.644567,11.885637,2026-07-07
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.92,11.97,2026-07-16
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.92,11.96,2026-07-16
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.048728,13.633283,2026-07-01
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.760873,18.503485,2026-07-18
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.162725,18.922222,2026-07-13
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.23,13.77,2026-07-28
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.92,11.97,2026-07-11
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.92,12.33,2026-08-11
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.93,12.21,2026-08-05
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,77.561049,18.050507,2026-08-20
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,77.514894,14.79037,2026-08-22
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,77.685689,14.373181,2026-08-22
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,77.94507,16.731565,2025-04-19
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,77.761,15.485,2025-05-09
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.5,16.43,2025-05-09
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.52745,12.87275,2025-05-27
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.37,14.27,2025-05-22
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.22,13.91,2025-06-27
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.564653,12.184699,2025-06-24
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.937205,12.279476,2025-06-18
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.2,12.97,2025-06-23
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.930993,11.88749,2025-06-12
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.961979,11.500217,2025-06-10
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.93,12.27,2025-07-02
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,77.549897,15.060722,2025-07-05
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.403503,14.143524,2025-07-09
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.383197,12.212848,2025-07-28
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.923533,11.909895,2025-07-15
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.92,11.93,2025-07-03
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.51,19.07,2025-07-15
Ursus maritimus,Polar Bear,Mammalia,svalbard_arctic,78.92,11.98,2025-07-05
