species,common_name,taxon_class,area_id,lat,lon,date
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.829971,-110.592773,2026-04-10
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.710817,-110.569798,2026-04-28
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.837716,-110.392611,2026-04-29
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.609744,-110.554632,2026-05-06
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.920033,-110.166734,2026-05-06
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.54701,-110.55463,2026-05-07
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.830577,-110.610097,2026-05-05
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.664768,-110.555878,2026-05-06
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.667862,-110.642722,2026-05-08
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.896954,-110.345006,2026-05-07
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.417975,-110.347749,2026-05-06
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.744437,-110.68805,2026-05-08
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.897334,-110.219625,2026-05-07
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.746449,-110.747542,2026-05-07
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.674772,-110.469658,2026-05-06
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.786483,-110.585286,2026-05-08
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.420605,-109.809616,2026-05-02
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.750149,-110.667922,2026-05-14
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.728032,-110.671628,2026-05-16
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.543351,-110.233782,2026-05-16
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.884198,-110.081116,2026-05-15
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.979869,-110.783619,2026-05-16
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.712674,-110.734841,2026-05-05
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.443076,-110.297599,2026-05-13
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.734515,-110.64489,2026-05-12
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.950318,-110.615351,2026-05-14
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.91272,-110.706814,2026-05-13
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.685842,-110.628837,2026-05-16
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.797368,-110.65195,2026-05-16
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.948829,-110.34822,2026-05-16
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.567109,-110.235975,2026-05-09
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.475842,-110.257983,2026-05-25
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.730738,-110.650566,2026-05-20
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.741351,-110.545325,2026-05-19
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.771989,-110.735313,2026-05-14
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.479576,-110.498873,2026-05-09
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.667194,-110.752984,2026-05-20
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.62617,-110.702328,2026-05-22
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.412336,-110.269666,2026-05-20
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.573114,-110.265849,2026-05-12
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.480844,-110.544288,2026-05-19
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.439713,-110.376943,2026-05-20
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.969341,-110.70851,2026-05-14
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.462916,-110.220776,2026-05-20
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.785447,-110.573647,2026-05-22
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.718449,-110.686894,2026-05-14
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.809137,-110.082246,2026-05-14
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.737464,-110.76901,2026-05-20
Ursus arctos,Brown / Grizzly Bear,Mammalia,yellowstone,44.719184,-110.741738,2026-05-13
