area_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,cloudcover_mean
borneo_rainforest,2011-09-17,34.74,23.91,16.8,4.29,80.62
borneo_rainforest,2011-09-18,30.06,22.12,13.01,7.24,76.55
borneo_rainforest,2011-09-19,30.65,25.68,11.05,5.51,86.66
borneo_rainforest,2011-09-20,32.26,21.26,12.12,5.11,78.76
borneo_rainforest,2011-09-21,32.31,23.47,7.5,4.86,64.65
borneo_rainforest,2011-09-22,32.36,23.75,8.93,4.77,63.95
borneo_rainforest,2011-09-23,33.4,22.61,0.22,6.75,81.79
borneo_rainforest,2011-09-24,29.23,23.96,5.33,9.8,69.6
borneo_rainforest,2011-09-25,31.66,23.95,6.98,6.07,96.89
borneo_rainforest,2011-09-26,30.28,22.94,17.7,4.71,78.33
borneo_rainforest,2011-09-27,29.63,21.9,14.14,5.9,67.78
borneo_rainforest,2011-09-28,32.35,22.61,8.36,4.14,62.2
borneo_rainforest,2011-09-29,30.28,24.42,9.32,4.9,92.79
borneo_rainforest,2011-09-30,30.55,24.19,7.52,8.23,57.88
borneo_rainforest,2011-10-01,31.65,23.33,10.96,6.3,77.96
borneo_rainforest,2011-10-02,29.68,23.41,13.3,8.11,83.33
borneo_rainforest,2011-10-03,34.25,23.46,9.24,6.9,56.79
borneo_rainforest,2011-10-04,32.24,23.63,8.14,4.81,63.51
borneo_rainforest,2011-10-05,30.88,23.12,7.25,4.46,67.48
borneo_rainforest,2011-10-06,31.1,22.33,6.42,8.05,100.0
borneo_rainforest,2011-10-07,32.83,25.83,8.34,5.43,77.46
borneo_rainforest,2011-10-08,29.9,24.48,12.97,5.4,82.25
borneo_rainforest,2011-10-09,29.32,23.84,14.24,5.17,98.28
borneo_rainforest,2011-10-10,31.85,23.04,1.2,7.27,74.36
borneo_rainforest,2011-10-11,32.61,23.08,6.94,6.73,51.48
borneo_rainforest,2011-10-12,31.59,23.32,5.76,6.31,48.66
borneo_rainforest,2011-10-13,29.88,25.42,6.95,7.77,66.34
borneo_rainforest,2011-10-14,35.03,22.34,9.86,5.11,86.49
borneo_rainforest,2011-10-15,30.08,23.58,5.07,6.24,98.34
borneo_rainforest,2011-10-16,30.95,22.66,11.73,6.67,85.87
borneo_rainforest,2011-10-17,31.88,22.02,13.28,7.15,71.4
borneo_rainforest,2011-10-18,30.87,25.22,15.15,7.79,68.31
borneo_rainforest,2011-10-19,32.81,23.1,7.49,4.16,100.0
