area_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,cloudcover_mean
brisbane_urban,2011-09-17,24.95,10.84,9.47,9.42,46.28
brisbane_urban,2011-09-18,21.89,10.66,2.98,13.69,56.81
brisbane_urban,2011-09-19,19.23,11.97,3.81,9.34,20.84
brisbane_urban,2011-09-20,20.56,14.15,0.0,15.04,58.94
brisbane_urban,2011-09-21,28.19,9.99,1.74,10.5,19.71
brisbane_urban,2011-09-22,23.19,6.59,4.29,12.75,49.82
brisbane_urban,2011-09-23,27.92,14.97,0.0,10.68,49.87
brisbane_urban,2011-09-24,21.64,10.89,1.45,9.26,40.49
brisbane_urban,2011-09-25,24.43,11.17,7.46,5.2,52.4
brisbane_urban,2011-09-26,19.52,11.32,8.52,7.42,26.04
brisbane_urban,2011-09-27,22.89,9.69,3.13,11.03,32.06
brisbane_urban,2011-09-28,28.46,11.84,1.83,13.62,28.28
brisbane_urban,2011-09-29,21.03,12.19,5.38,18.57,34.4
brisbane_urban,2011-09-30,21.35,13.86,0.49,10.31,59.96
brisbane_urban,2011-10-01,25.23,11.79,6.9,9.94,63.03
brisbane_urban,2011-10-02,23.54,7.73,0.0,7.57,43.39
brisbane_urban,2011-10-03,28.09,10.25,5.67,15.24,47.7
brisbane_urban,2011-10-04,22.83,15.75,2.26,14.29,73.74
brisbane_urban,2011-10-05,23.7,11.54,0.0,13.9,39.05
brisbane_urban,2011-10-06,24.41,14.69,4.06,13.58,35.35
brisbane_urban,2011-10-07,21.02,12.02,0.73,11.11,59.29
brisbane_urban,2011-10-08,20.56,15.48,7.02,17.21,37.91
brisbane_urban,2011-10-09,20.42,14.01,0.0,9.78,31.45
brisbane_urban,2011-10-10,15.72,10.7,3.66,10.88,59.15
brisbane_urban,2011-10-11,23.87,11.42,0.0,9.03,66.65
brisbane_urban,2011-10-12,20.92,10.82,8.15,12.17,39.08
brisbane_urban,2011-10-13,22.92,16.21,6.02,9.95,46.15
brisbane_urban,2011-10-14,26.91,11.54,2.65,10.51,60.12
brisbane_urban,2011-10-15,22.09,13.59,2.83,8.55,35.62
brisbane_urban,2011-10-16,26.28,14.33,10.53,9.44,61.22
brisbane_urban,2011-10-17,20.69,15.1,6.42,7.21,69.07
brisbane_urban,2011-10-18,23.03,13.7,0.0,14.13,29.01
brisbane_urban,2011-10-19,29.19,11.35,7.32,9.91,27.58
brisbane_urban,2011-10-20,23.86,12.27,0.63,18.61,23.67
brisbane_urban,2011-10-21,28.24,12.71,3.9,16.33,40.26
brisbane_urban,2011-10-22,31.01,9.3,0.0,13.3,29.33
brisbane_urban,2011-10-23,24.17,16.18,6.98,15.09,64.65
brisbane_urban,2011-10-24,23.64,16.45,0.35,16.14,34.11
brisbane_urban,2011-10-25,20.0,13.08,2.49,11.45,42.64
brisbane_urban,2011-10-26,26.23,18.41,0.0,12.51,54.3
brisbane_urban,2011-10-27,26.54,15.41,4.33,17.04,36.69
brisbane_urban,2011-10-28,27.61,17.61,3.89,17.31,49.35
brisbane_urban,2011-10-29,29.26,17.56,0.0,10.65,59.09
brisbane_urban,2011-10-30,23.31,15.66,3.82,21.43,96.04
brisbane_urban,2011-10-31,30.64,11.59,2.53,8.7,55.42
brisbane_urban,2011-11-01,25.35,16.59,9.29,5.48,26.2
brisbane_urban,2011-11-02,27.06,17.41,0.64,19.55,60.44
brisbane_urban,2011-11-03,26.08,14.92,6.03,16.12,54.86
brisbane_urban,2011-11-04,24.41,16.81,0.0,14.26,57.92
brisbane_urban,2011-11-05,23.43,16.49,4.34,16.48,49.11
brisbane_urban,2011-11-06,27.04,14.56,5.64,11.31,63.94
brisbane_urban,2011-11-07,24.2,16.54,5.91,7.65,47.15
brisbane_urban,2011-11-08,26.15,15.73,3.59,12.2,55.67
brisbane_urban,2011-11-09,25.76,17.78,11.97,11.37,54.3
brisbane_urban,2011-11-10,25.97,15.75,2.6,10.39,52.99
brisbane_urban,2011-11-11,22.47,15.58,6.44,11.78,46.66
brisbane_urban,2011-11-12,19.14,13.64,2.9,11.87,68.48
brisbane_urban,2011-11-13,29.24,22.19,0.6,12.32,72.55
brisbane_urban,2011-11-14,30.04,16.44,0.0,15.35,81.05
brisbane_urban,2011-11-15,20.91,15.04,0.35,16.01,54.17
brisbane_urban,2011-11-16,28.45,18.95,7.23,15.14,55.79
brisbane_urban,2011-11-17,28.03,18.12,10.53,5.24,56.87
brisbane_urban,2011-11-18,24.26,19.01,7.31,10.61,40.85
brisbane_urban,2011-11-19,29.9,19.33,3.14,10.69,66.13
brisbane_urban,2011-11-20,30.58,20.4,1.87,18.43,49.02
brisbane_urban,2011-11-21,30.47,15.73,5.48,11.31,62.05
brisbane_urban,2011-11-22,32.26,18.48,0.1,7.68,36.03
brisbane_urban,2011-11-23,30.48,14.78,8.8,16.77,61.97
brisbane_urban,2011-11-24,25.98,17.66,6.53,14.71,72.89
brisbane_urban,2011-11-25,28.18,19.9,0.56,23.23,44.07
brisbane_urban,2011-11-26,29.18,16.54,11.66,9.63,47.49
brisbane_urban,2011-11-27,32.09,23.5,0.0,13.73,47.21
brisbane_urban,2011-11-28,27.74,18.71,5.27,10.9,47.36
brisbane_urban,2011-11-29,26.86,14.77,8.83,10.94,74.73
brisbane_urban,2011-11-30,24.38,20.38,8.42,11.72,56.63
brisbane_urban,2011-12-01,30.77,23.8,2.34,10.79,40.63
brisbane_urban,2011-12-02,29.18,14.07,3.34,15.31,42.98
brisbane_urban,2011-12-03,26.56,20.64,0.93,14.91,24.67
brisbane_urban,2011-12-04,30.72,16.96,6.26,14.62,44.01
brisbane_urban,2011-12-05,28.01,19.1,9.0,19.2,36.83
brisbane_urban,2011-12-06,25.62,16.41,0.0,16.74,37.63
brisbane_urban,2011-12-07,32.32,21.24,7.88,17.74,49.57
