area_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,cloudcover_mean
costa_rica_cloud_forest,2011-09-17,20.37,14.49,11.14,9.61,76.36
costa_rica_cloud_forest,2011-09-18,18.93,14.98,12.53,12.13,76.97
costa_rica_cloud_forest,2011-09-19,21.15,11.69,0.0,12.44,74.75
costa_rica_cloud_forest,2011-09-20,20.03,15.76,3.52,4.3,68.37
costa_rica_cloud_forest,2011-09-21,18.25,13.84,3.83,8.61,51.62
costa_rica_cloud_forest,2011-09-22,20.48,12.71,2.92,6.31,65.14
costa_rica_cloud_forest,2011-09-23,20.2,13.82,0.0,12.07,69.59
costa_rica_cloud_forest,2011-09-24,20.0,11.85,10.13,5.89,68.84
costa_rica_cloud_forest,2011-09-25,20.28,12.91,1.23,5.86,72.18
costa_rica_cloud_forest,2011-09-26,19.28,12.2,0.38,10.77,66.44
costa_rica_cloud_forest,2011-09-27,21.05,12.3,0.0,3.55,70.91
costa_rica_cloud_forest,2011-09-28,23.3,13.16,0.0,10.35,83.4
costa_rica_cloud_forest,2011-09-29,19.69,11.67,1.85,10.37,81.94
costa_rica_cloud_forest,2011-09-30,20.91,12.92,3.94,12.37,80.36
costa_rica_cloud_forest,2011-10-01,20.12,15.3,5.81,2.31,82.95
costa_rica_cloud_forest,2011-10-02,20.73,13.32,0.0,9.88,67.72
costa_rica_cloud_forest,2011-10-03,20.43,13.78,0.0,4.96,76.41
costa_rica_cloud_forest,2011-10-04,22.43,11.28,8.28,8.28,88.0
costa_rica_cloud_forest,2011-10-05,20.45,12.91,0.0,3.02,82.65
costa_rica_cloud_forest,2011-10-06,21.45,13.0,8.64,9.34,70.51
costa_rica_cloud_forest,2011-10-07,21.66,16.24,0.0,7.26,76.92
costa_rica_cloud_forest,2011-10-08,20.66,12.63,0.0,6.82,98.84
costa_rica_cloud_forest,2011-10-09,20.53,14.19,0.0,6.78,71.46
costa_rica_cloud_forest,2011-10-10,20.53,14.96,2.47,7.25,78.87
costa_rica_cloud_forest,2011-10-11,18.8,12.68,3.99,14.03,78.79
costa_rica_cloud_forest,2011-10-12,19.43,12.19,0.0,12.36,63.53
costa_rica_cloud_forest,2011-10-13,24.19,13.66,7.25,14.7,93.55
costa_rica_cloud_forest,2011-10-14,18.56,13.0,11.04,9.31,76.9
costa_rica_cloud_forest,2011-10-15,20.21,12.15,10.86,13.56,81.14
costa_rica_cloud_forest,2011-10-16,22.08,14.07,0.0,7.59,87.18
costa_rica_cloud_forest,2011-10-17,20.44,15.5,11.41,4.79,68.0
costa_rica_cloud_forest,2011-10-18,21.89,12.39,0.96,14.76,86.15
costa_rica_cloud_forest,2011-10-19,20.8,14.55,0.0,4.88,70.01
costa_rica_cloud_forest,2011-10-20,23.58,12.99,8.72,9.71,82.17
costa_rica_cloud_forest,2011-10-21,18.49,12.79,0.0,13.34,67.81
