area_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,cloudcover_mean
kruger,2006-03-28,21.5,16.2,26.2,32.0,99
kruger,2006-03-29,21.1,16.4,5.8,32.1,96
kruger,2006-03-30,23.6,17.2,0.0,23.3,61
kruger,2006-03-31,27.0,15.3,0.0,8.7,10
kruger,2006-04-01,28.3,16.6,0.0,7.9,8
kruger,2006-04-02,29.1,17.0,0.0,12.2,5
kruger,2006-04-03,25.6,19.1,1.3,22.1,52
kruger,2006-04-04,27.5,18.9,0.0,9.4,43
kruger,2006-04-05,30.3,16.4,0.0,12.3,3
kruger,2006-04-06,28.2,18.5,0.0,11.5,35
kruger,2006-04-07,29.1,15.9,0.0,10.2,1
kruger,2006-04-08,30.4,17.3,0.2,24.6,26
kruger,2006-04-09,23.9,18.7,0.0,23.1,91
kruger,2006-04-10,26.6,18.1,0.7,13.0,53
kruger,2006-04-11,26.5,18.5,0.3,8.9,35
kruger,2006-04-12,29.8,17.5,1.3,10.4,21
kruger,2006-04-13,29.5,17.7,0.4,12.1,14
kruger,2006-04-14,33.6,17.6,0.0,17.3,4
kruger,2006-04-15,26.0,19.9,0.0,33.5,39
kruger,2006-04-16,25.3,18.3,0.3,15.3,69
kruger,2006-04-17,30.1,15.2,0.0,12.9,45
kruger,2006-04-18,22.5,18.8,0.0,31.8,97
kruger,2006-04-19,24.9,17.6,0.0,23.4,91
kruger,2006-04-20,25.9,15.9,0.1,7.9,71
kruger,2006-04-21,25.7,17.5,0.0,8.6,85
kruger,2006-04-22,30.3,17.2,0.0,14.4,23
kruger,2006-04-23,32.9,18.4,2.3,17.4,35
kruger,2006-04-24,23.7,17.4,0.3,24.8,83
kruger,2006-04-25,24.2,15.9,0.0,14.2,88
kruger,2006-04-26,25.0,13.9,0.0,11.7,33
kruger,2006-04-27,25.4,15.5,0.0,13.3,12
kruger,2006-04-28,24.8,13.2,0.0,10.7,10
kruger,2006-04-29,28.6,12.5,0.0,15.0,2
kruger,2006-04-30,28.9,14.5,0.0,21.5,29
kruger,2006-05-01,21.7,17.2,0.0,32.1,88
kruger,2006-05-02,21.0,16.3,0.0,25.0,88
kruger,2006-05-03,25.0,14.7,0.0,18.2,31
kruger,2006-05-04,28.5,15.9,0.0,13.4,3
kruger,2006-05-05,26.7,16.3,0.0,12.9,13
kruger,2006-05-06,30.3,16.6,0.1,13.7,13
kruger,2006-05-07,20.6,16.7,0.0,29.3,67
kruger,2006-05-08,20.8,13.9,1.7,19.1,69
kruger,2006-05-09,22.7,11.3,0.0,19.5,10
kruger,2006-05-10,24.3,10.1,0.0,10.4,1
kruger,2006-05-11,24.7,10.8,0.0,9.7,2
kruger,2006-05-12,26.0,12.1,0.0,9.8,1
kruger,2006-05-13,27.2,13.0,0.0,10.5,0
kruger,2006-05-14,28.2,15.0,0.0,11.4,2
kruger,2006-05-15,28.2,15.6,0.0,11.6,2
kruger,2006-05-16,27.4,14.4,0.0,9.7,10
kruger,2006-05-17,29.4,13.7,0.0,16.3,23
kruger,2006-05-18,31.4,15.7,0.0,19.6,25
kruger,2006-05-19,28.5,16.7,0.0,22.3,10
kruger,2006-05-20,25.4,15.3,0.0,22.2,20
kruger,2006-05-21,22.7,13.6,0.0,24.5,26
kruger,2006-05-22,21.9,10.3,0.0,10.6,4
kruger,2006-05-23,24.5,9.9,0.0,11.8,0
kruger,2006-05-24,21.9,10.7,0.0,17.6,8
kruger,2006-05-25,21.8,10.3,0.0,12.6,3
kruger,2006-05-26,25.3,9.1,0.0,18.4,0
kruger,2006-05-27,27.8,13.0,0.0,21.5,0
kruger,2006-05-28,26.3,11.2,0.0,19.8,0
kruger,2006-05-29,23.2,14.9,0.0,19.5,52
kruger,2006-05-30,24.5,12.6,0.0,10.2,7
kruger,2006-05-31,24.3,10.8,0.0,10.0,2
kruger,2006-06-01,24.5,10.2,0.0,10.6,1
kruger,2006-06-02,26.5,11.1,0.0,15.9,0
