area_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,cloudcover_mean
patagonia,2006-12-27,-1.5,-4.0,31.1,19.0,92
patagonia,2006-12-28,-1.8,-5.0,36.2,14.4,93
patagonia,2006-12-29,-1.6,-5.2,15.2,14.3,86
patagonia,2006-12-30,1.3,-4.6,5.5,13.2,96
patagonia,2006-12-31,1.6,-0.9,6.8,12.5,93
patagonia,2007-01-01,-0.2,-2.5,31.3,14.4,97
patagonia,2007-01-02,-0.7,-2.8,16.0,18.8,90
patagonia,2007-01-03,-0.4,-4.0,25.3,19.4,94
patagonia,2007-01-04,-0.5,-5.0,3.0,10.4,87
patagonia,2007-01-05,0.5,-3.3,0.0,9.4,84
patagonia,2007-01-06,4.5,-1.3,0.0,9.9,91
patagonia,2007-01-07,6.2,-0.4,1.7,11.2,92
patagonia,2007-01-08,2.7,0.4,13.8,13.5,98
patagonia,2007-01-09,0.1,-3.6,21.9,14.5,95
patagonia,2007-01-10,0.4,-3.9,6.9,17.6,90
patagonia,2007-01-11,0.9,-1.5,26.2,18.6,97
patagonia,2007-01-12,-1.5,-2.6,40.6,14.9,98
patagonia,2007-01-13,0.3,-2.0,6.4,16.3,93
patagonia,2007-01-14,2.4,-1.2,4.4,12.5,86
patagonia,2007-01-15,3.0,-0.4,5.3,12.1,88
patagonia,2007-01-16,2.3,-2.5,72.0,14.5,100
patagonia,2007-01-17,0.4,-2.8,8.4,15.6,97
patagonia,2007-01-18,1.8,-3.2,4.2,8.9,95
patagonia,2007-01-19,9.3,0.9,0.0,6.6,83
patagonia,2007-01-20,6.7,1.5,4.4,7.4,97
patagonia,2007-01-21,6.9,2.3,1.5,5.4,98
patagonia,2007-01-22,10.0,2.7,9.5,10.1,98
patagonia,2007-01-23,4.0,1.3,46.2,7.1,99
patagonia,2007-01-24,7.1,-0.7,5.8,9.7,79
patagonia,2007-01-25,3.0,0.7,5.3,13.4,66
patagonia,2007-01-26,2.2,0.2,5.4,10.5,88
patagonia,2007-01-27,4.8,-1.6,0.1,13.0,71
patagonia,2007-01-28,2.1,-1.9,8.1,13.5,81
patagonia,2007-01-29,0.2,-2.4,13.5,12.7,91
patagonia,2007-01-30,2.7,-2.3,26.9,18.2,99
patagonia,2007-01-31,3.2,2.0,21.0,14.8,100
patagonia,2007-02-01,2.3,-1.0,15.5,21.1,77
patagonia,2007-02-02,2.0,-1.3,7.8,13.1,100
patagonia,2007-02-03,-0.9,-3.2,24.4,16.1,92
patagonia,2007-02-04,0.2,-4.1,6.3,14.3,82
patagonia,2007-02-05,-0.5,-4.0,20.3,12.7,95
patagonia,2007-02-06,-2.5,-4.7,25.8,11.4,92
patagonia,2007-02-07,-0.9,-4.3,21.8,15.8,99
patagonia,2007-02-08,-0.5,-2.1,15.0,15.3,94
patagonia,2007-02-09,1.7,-1.1,10.7,10.8,100
patagonia,2007-02-10,8.1,1.8,0.0,14.1,62
patagonia,2007-02-11,12.1,3.3,0.0,9.3,65
patagonia,2007-02-12,6.2,-2.7,8.6,11.5,78
patagonia,2007-02-13,0.1,-3.4,5.8,11.3,87
patagonia,2007-02-14,1.6,-2.2,2.3,10.6,96
patagonia,2007-02-15,1.4,-2.2,4.6,7.2,96
patagonia,2007-02-16,1.6,-1.7,6.7,15.1,99
patagonia,2007-02-17,1.3,-0.8,8.4,16.0,100
patagonia,2007-02-18,-0.2,-2.3,7.2,12.6,80
patagonia,2007-02-19,1.8,-2.1,0.6,12.5,96
patagonia,2007-02-20,2.0,-0.0,10.7,14.8,100
patagonia,2007-02-21,2.0,0.4,2.6,13.8,98
patagonia,2007-02-22,2.9,0.4,2.9,11.3,100
patagonia,2007-02-23,1.9,0.5,25.8,13.0,100
patagonia,2007-02-24,1.4,-1.5,9.3,14.6,95
patagonia,2007-02-25,-1.6,-3.6,31.6,22.5,96
patagonia,2007-02-26,-1.8,-5.8,32.3,24.4,91
patagonia,2007-02-27,-3.0,-6.0,31.0,14.9,98
patagonia,2007-02-28,-3.1,-5.3,24.1,11.7,95
patagonia,2007-03-01,-2.2,-5.7,18.9,10.0,99
patagonia,2007-03-02,0.1,-2.3,6.7,13.6,99
patagonia,2007-03-03,1.9,-0.7,22.9,13.1,100
patagonia,2007-03-04,0.8,-2.7,43.6,12.9,100
patagonia,2007-03-05,-2.6,-5.3,9.6,9.4,72
patagonia,2007-03-06,4.0,-4.6,0.0,9.1,1
patagonia,2007-03-07,6.1,-6.3,0.0,9.1,49
patagonia,2007-03-08,5.5,-4.1,0.0,7.2,82
patagonia,2007-03-09,4.5,-0.8,2.9,10.3,87
patagonia,2007-03-10,1.8,-0.5,13.3,12.4,100
patagonia,2007-03-11,-0.5,-2.8,23.4,13.2,99
patagonia,2007-03-12,-1.3,-3.0,31.2,13.7,99
patagonia,2007-03-13,0.5,-2.6,33.4,10.7,100
patagonia,2007-03-14,5.2,0.2,1.2,6.3,88
patagonia,2007-03-15,10.0,-3.2,0.0,7.7,98
patagonia,2007-03-16,4.7,0.5,9.1,14.5,97
patagonia,2007-03-17,2.2,-0.3,19.5,15.5,89
patagonia,2007-03-18,1.5,-2.3,40.1,18.5,98
patagonia,2007-03-19,-0.0,-2.1,20.4,19.3,97
patagonia,2007-03-20,-0.8,-1.7,17.2,16.4,99
patagonia,2007-03-21,-0.1,-1.6,18.7,16.4,100
patagonia,2007-03-22,1.1,-2.4,23.8,14.7,99
patagonia,2007-03-23,-0.5,-3.2,39.8,15.8,100
patagonia,2007-03-24,2.0,-1.0,26.6,11.8,95
patagonia,2007-03-25,-0.2,-4.0,21.2,11.1,96
patagonia,2007-03-26,-1.3,-3.9,9.0,16.8,99
patagonia,2007-03-27,1.9,-1.2,12.3,16.4,100
patagonia,2007-03-28,2.6,1.3,14.5,13.0,100
patagonia,2007-03-29,1.5,-3.0,16.8,15.5,98
patagonia,2007-03-30,1.1,-2.5,37.1,19.4,100
patagonia,2007-03-31,2.1,0.8,33.4,15.5,100
patagonia,2007-04-01,4.6,1.4,12.6,16.3,99
patagonia,2007-04-02,1.2,-3.5,21.5,17.9,86
patagonia,2007-04-03,1.7,-1.0,29.0,16.8,100
patagonia,2007-04-04,5.5,0.6,5.7,14.9,86
patagonia,2007-04-05,4.9,0.6,30.3,14.4,98
patagonia,2007-04-06,0.1,-3.2,8.1,13.8,69
patagonia,2007-04-07,-2.1,-4.8,10.0,12.3,75
patagonia,2007-04-08,-0.6,-4.7,7.7,14.7,95
patagonia,2007-04-09,-3.2,-5.4,21.7,15.5,89
patagonia,2007-04-10,-2.9,-5.2,17.8,9.8,98
patagonia,2007-04-11,-4.0,-6.5,11.6,11.3,86
patagonia,2007-04-12,-3.5,-4.7,29.7,13.5,97
patagonia,2007-04-13,-3.2,-4.3,13.3,10.5,93
patagonia,2007-04-14,-3.6,-5.8,25.1,12.0,93
patagonia,2007-04-15,-2.0,-4.0,27.7,12.4,99
patagonia,2007-04-16,0.7,-2.5,26.7,10.9,81
patagonia,2007-04-17,-1.6,-4.5,0.4,8.3,63
patagonia,2007-04-18,-1.5,-4.4,7.9,10.9,96
patagonia,2007-04-19,-2.7,-5.7,23.8,13.8,96
patagonia,2007-04-20,-3.0,-5.8,45.6,17.3,100
patagonia,2007-04-21,-1.8,-2.9,5.5,13.0,98
patagonia,2007-04-22,-1.6,-5.9,15.0,16.4,93
patagonia,2007-04-23,-5.2,-7.3,27.7,15.8,93
patagonia,2007-04-24,-2.9,-6.6,29.0,13.6,99
patagonia,2007-04-25,-1.6,-2.7,13.3,12.6,100
patagonia,2007-04-26,-0.2,-1.8,6.4,14.1,100
patagonia,2007-04-27,1.3,-0.0,22.2,15.4,100
patagonia,2007-04-28,1.0,-3.7,24.2,15.8,90
patagonia,2007-04-29,-3.7,-7.2,6.0,8.0,72
patagonia,2007-04-30,-5.6,-7.2,1.9,13.3,75
patagonia,2007-05-01,-4.0,-6.0,1.4,10.8,87
patagonia,2007-05-02,-3.6,-5.0,0.0,5.5,48
patagonia,2007-05-03,-4.4,-6.5,0.0,6.9,81
patagonia,2007-05-04,-5.1,-7.1,4.3,9.4,80
patagonia,2007-05-05,-5.2,-7.3,2.6,8.2,89
patagonia,2007-05-06,-2.8,-6.6,11.4,8.9,99
patagonia,2007-05-07,-0.7,-2.8,14.3,8.2,100
patagonia,2007-05-08,-0.3,-1.5,1.3,11.8,100
patagonia,2007-05-09,0.1,-4.5,26.9,12.6,98
patagonia,2007-05-10,-4.3,-5.5,13.8,9.9,95
patagonia,2007-05-11,-1.4,-4.7,4.3,13.3,98
patagonia,2007-05-12,-0.1,-5.1,0.0,10.4,90
patagonia,2007-05-13,-2.8,-5.2,4.2,8.9,90
patagonia,2007-05-14,-3.9,-6.7,18.6,13.0,97
patagonia,2007-05-15,-6.6,-9.1,8.4,12.4,89
patagonia,2007-05-16,-4.3,-8.3,35.7,14.7,100
patagonia,2007-05-17,-2.4,-4.5,30.1,12.8,100
patagonia,2007-05-18,-0.5,-2.5,38.2,16.9,100
patagonia,2007-05-19,-1.7,-4.0,14.8,16.6,98
patagonia,2007-05-20,-2.6,-3.6,10.9,13.0,99
patagonia,2007-05-21,-1.3,-4.1,51.4,15.1,100
patagonia,2007-05-22,-1.0,-2.3,10.2,13.5,99
patagonia,2007-05-23,1.6,-1.8,4.6,13.5,100
patagonia,2007-05-24,1.0,-4.6,45.8,15.6,99
