area_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,cloudcover_mean
scottish_highlands,2011-09-17,15.48,7.57,6.18,29.1,74.38
scottish_highlands,2011-09-18,14.31,7.87,4.59,25.32,40.85
scottish_highlands,2011-09-19,15.13,9.74,3.52,25.68,78.23
scottish_highlands,2011-09-20,12.39,9.35,7.95,18.85,74.62
scottish_highlands,2011-09-21,14.34,7.09,3.5,21.82,59.1
scottish_highlands,2011-09-22,14.1,5.37,0.0,14.2,66.86
scottish_highlands,2011-09-23,16.9,6.24,6.85,25.66,77.74
scottish_highlands,2011-09-24,14.09,6.62,0.07,13.58,67.87
scottish_highlands,2011-09-25,14.38,6.92,4.07,21.76,67.11
scottish_highlands,2011-09-26,16.12,6.23,0.0,19.73,77.47
scottish_highlands,2011-09-27,15.91,12.35,1.92,21.6,69.83
scottish_highlands,2011-09-28,13.97,2.35,5.17,26.52,60.05
scottish_highlands,2011-09-29,8.05,11.63,2.92,18.25,81.86
scottish_highlands,2011-09-30,19.38,7.16,1.2,21.98,66.98
scottish_highlands,2011-10-01,17.11,6.49,8.74,18.16,60.84
scottish_highlands,2011-10-02,16.76,7.32,9.21,20.43,85.21
scottish_highlands,2011-10-03,14.03,11.64,2.13,16.57,78.98
scottish_highlands,2011-10-04,16.98,5.77,7.22,19.13,68.34
scottish_highlands,2011-10-05,17.07,10.07,4.01,16.44,71.23
scottish_highlands,2011-10-06,11.37,6.9,7.77,16.25,63.17
scottish_highlands,2011-10-07,12.51,4.33,5.02,19.47,80.05
scottish_highlands,2011-10-08,13.72,2.96,3.91,16.66,74.12
scottish_highlands,2011-10-09,13.71,7.08,5.25,16.19,48.29
scottish_highlands,2011-10-10,10.52,7.26,2.32,27.61,71.81
scottish_highlands,2011-10-11,11.18,8.36,4.5,18.81,69.89
scottish_highlands,2011-10-12,15.23,6.13,0.0,13.15,77.65
scottish_highlands,2011-10-13,6.04,3.26,0.0,14.3,65.86
scottish_highlands,2011-10-14,11.49,7.2,0.29,23.67,71.01
scottish_highlands,2011-10-15,12.73,4.4,4.96,24.08,57.93
scottish_highlands,2011-10-16,11.16,6.34,4.85,23.8,74.82
scottish_highlands,2011-10-17,12.3,5.16,4.13,23.23,69.24
scottish_highlands,2011-10-18,10.42,7.28,4.29,18.67,92.36
scottish_highlands,2011-10-19,14.44,1.67,0.9,15.16,66.16
scottish_highlands,2011-10-20,17.41,0.71,9.56,20.82,87.71
scottish_highlands,2011-10-21,14.61,5.84,2.78,13.9,51.77
scottish_highlands,2011-10-22,16.24,5.21,0.0,18.16,71.15
scottish_highlands,2011-10-23,9.49,1.68,0.75,21.79,69.55
scottish_highlands,2011-10-24,9.87,8.85,4.25,17.48,56.89
scottish_highlands,2011-10-25,9.23,6.31,4.37,13.2,76.48
scottish_highlands,2011-10-26,14.36,5.39,7.27,15.2,84.33
scottish_highlands,2011-10-27,9.23,8.31,4.51,20.57,75.35
scottish_highlands,2011-10-28,12.16,6.23,2.77,22.88,49.87
scottish_highlands,2011-10-29,12.7,0.16,4.65,25.61,77.68
scottish_highlands,2011-10-30,10.48,2.08,8.72,10.06,85.58
scottish_highlands,2011-10-31,12.81,0.78,5.73,12.24,72.31
scottish_highlands,2011-11-01,9.97,4.55,4.53,16.84,85.04
scottish_highlands,2011-11-02,15.38,6.28,0.0,14.49,54.28
scottish_highlands,2011-11-03,13.02,0.8,3.37,28.29,63.67
scottish_highlands,2011-11-04,9.69,4.32,5.0,13.47,66.08
scottish_highlands,2011-11-05,10.46,6.0,0.7,19.45,59.61
scottish_highlands,2011-11-06,1.45,4.47,9.68,15.82,65.1
scottish_highlands,2011-11-07,10.84,6.6,6.08,12.32,48.81
scottish_highlands,2011-11-08,3.17,5.36,0.94,17.26,70.12
scottish_highlands,2011-11-09,6.81,0.15,0.0,14.18,61.12
scottish_highlands,2011-11-10,13.06,3.73,1.17,20.27,72.39
scottish_highlands,2011-11-11,10.91,9.64,0.89,18.93,64.94
scottish_highlands,2011-11-12,10.12,6.96,0.56,11.55,85.71
scottish_highlands,2011-11-13,8.6,6.07,0.0,14.71,63.79
scottish_highlands,2011-11-14,6.41,2.33,0.37,9.32,79.09
scottish_highlands,2011-11-15,5.89,3.95,2.77,25.41,81.15
scottish_highlands,2011-11-16,9.81,2.08,0.27,20.65,71.16
scottish_highlands,2011-11-17,5.34,-0.48,1.12,15.51,58.06
