area_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,cloudcover_mean
svalbard_arctic,2011-09-17,-3.89,-5.88,1.27,18.3,67.34
svalbard_arctic,2011-09-18,4.15,-2.58,1.84,19.3,81.58
svalbard_arctic,2011-09-19,-1.78,-3.12,0.58,9.64,55.88
svalbard_arctic,2011-09-20,3.34,-7.46,1.39,12.57,61.32
svalbard_arctic,2011-09-21,-4.27,-11.19,0.11,19.69,65.56
svalbard_arctic,2011-09-22,0.83,-4.44,2.2,8.3,44.84
svalbard_arctic,2011-09-23,-1.79,-10.49,3.23,11.42,63.28
svalbard_arctic,2011-09-24,-5.16,-7.08,1.27,22.08,74.74
svalbard_arctic,2011-09-25,-2.16,-5.34,0.67,14.37,54.23
svalbard_arctic,2011-09-26,-3.76,-1.28,4.98,16.61,61.46
svalbard_arctic,2011-09-27,-4.26,-0.31,2.26,17.41,59.69
svalbard_arctic,2011-09-28,-8.54,-6.23,2.61,17.54,77.96
svalbard_arctic,2011-09-29,2.14,-14.17,1.5,13.64,43.28
svalbard_arctic,2011-09-30,-2.35,-11.6,0.07,14.22,59.64
svalbard_arctic,2011-10-01,-7.54,-8.73,0.88,24.19,90.7
svalbard_arctic,2011-10-02,-3.24,-9.56,1.17,10.25,84.49
svalbard_arctic,2011-10-03,-5.67,-8.27,1.04,12.72,83.24
svalbard_arctic,2011-10-04,-0.64,-8.43,0.0,10.79,87.82
svalbard_arctic,2011-10-05,-5.93,-12.9,1.04,14.6,52.7
svalbard_arctic,2011-10-06,-5.42,-7.35,0.0,11.64,86.13
svalbard_arctic,2011-10-07,-7.37,-12.45,0.0,20.36,35.43
svalbard_arctic,2011-10-08,-4.27,-9.21,0.27,21.58,58.36
svalbard_arctic,2011-10-09,-5.99,-4.11,0.75,15.03,75.93
svalbard_arctic,2011-10-10,-2.41,-13.36,0.81,11.05,69.26
svalbard_arctic,2011-10-11,-5.46,-9.91,0.9,22.37,69.55
svalbard_arctic,2011-10-12,0.73,-11.89,2.83,11.98,51.51
svalbard_arctic,2011-10-13,-7.25,-14.06,0.89,15.85,23.43
svalbard_arctic,2011-10-14,-9.43,-10.66,0.0,16.38,71.42
svalbard_arctic,2011-10-15,-9.45,-13.74,0.65,10.93,80.63
svalbard_arctic,2011-10-16,-9.66,-8.98,0.72,13.12,66.93
svalbard_arctic,2011-10-17,-10.16,-9.68,0.0,22.16,68.8
svalbard_arctic,2011-10-18,-3.38,-6.57,0.94,15.8,70.48
svalbard_arctic,2011-10-19,-8.94,-9.69,0.39,16.62,52.08
svalbard_arctic,2011-10-20,-7.48,-10.3,0.84,17.86,62.25
svalbard_arctic,2011-10-21,-12.44,-18.9,1.14,16.26,46.56
svalbard_arctic,2011-10-22,-8.82,-9.96,0.76,18.53,79.59
